trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-077,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-52a8c87e74e9ce95-29974,MARKET,SELL,4.760675,GTC,False,False,4.760675,TAKER,25206.510000000002,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,caacd628-5ab0-4af7-bf55-cbb919ee74cf,2023-06-15 00:00:00+00:00,2023-06-15 00:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-078,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-30494365d4c10bf2-30183,MARKET,BUY,4.760675,GTC,True,False,4.760675,TAKER,26690.449999999997,0.0,['76.24000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,757cb2fd-3db3-490e-b807-ae32f82d6a19,2023-06-17 05:00:00+00:00,2023-06-17 05:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-079,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-7ac28ecb9282b7a4-30284,MARKET,BUY,4.520792,GTC,False,False,4.520792,TAKER,26544.02,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ea6c3248-20ba-4c8e-81bd-bdde89270f6b,2023-06-18 06:00:00+00:00,2023-06-18 06:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-080,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-4f53febbd14e7749-31396,MARKET,SELL,4.520792,GTC,True,False,4.520792,TAKER,30417.340000000004,0.0,['82.51000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4bc2deb4-1d1c-4a6a-a759-c1b0f4fc6b67,2023-06-29 21:00:00+00:00,2023-06-29 21:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-081,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-1b88b7cf28b681c7-32232,MARKET,SELL,3.972458,GTC,False,False,3.972458,TAKER,30208.0,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9c802804-550e-488e-b922-dfc02507ddc1,2023-07-08 15:00:00+00:00,2023-07-08 15:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-082,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-4689be746509bac7-32329,MARKET,BUY,3.972458,GTC,True,False,3.972458,TAKER,30349.47,0.0,['72.34000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,be8c7d03-4612-48e4-b4de-e6e21467a36e,2023-07-09 15:00:00+00:00,2023-07-09 15:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-083,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-6ddc1b2e03343d81-32758,MARKET,BUY,3.814367,GTC,False,False,3.814367,TAKER,31460.0,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,177c0cd6-5673-4e19-9381-687b80987eef,2023-07-14 03:00:00+00:00,2023-07-14 03:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-084,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-093eb6c9ddc989e7-32862,MARKET,SELL,3.814367,GTC,True,False,3.814367,TAKER,30295.43,0.0,['69.33000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,73f2b82a-aeb5-458d-8107-2757dfb209e9,2023-07-15 05:00:00+00:00,2023-07-15 05:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-085,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-99969d2109e4ca5f-33227,MARKET,SELL,3.999199,GTC,False,False,3.999199,TAKER,30006.01,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ab5c058f-5ed8-4218-ab19-a2292e3e1e00,2023-07-19 01:00:00+00:00,2023-07-19 01:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-086,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-0cfbb3862c966fe3-33607,MARKET,BUY,3.999199,GTC,True,False,3.999199,TAKER,29826.16,0.0,['71.57000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,96ab4620-d687-4238-88ee-88dced474017,2023-07-23 01:00:00+00:00,2023-07-23 01:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-087,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-7e2a520299d7baea-33783,MARKET,SELL,4.114232,GTC,False,False,4.114232,TAKER,29167.05,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,48e82c1b-de10-4d3e-b4df-c8d36bdf4ede,2023-07-24 21:00:00+00:00,2023-07-24 21:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-088,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-2452cfc9424d3042-34168,MARKET,BUY,4.114232,GTC,True,False,4.114232,TAKER,29313.769999999997,0.0,['72.36000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9695341b-e287-486c-b8b0-8961392283f3,2023-07-28 21:00:00+00:00,2023-07-28 21:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-089,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-19c46af9bb68772f-35264,MARKET,BUY,4.014946,GTC,False,False,4.014946,TAKER,29888.32,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3c0847db-fd15-4faa-a379-09afa780fd25,2023-08-09 11:00:00+00:00,2023-08-09 11:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-090,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-1d631d5c72e05ef1-35346,MARKET,SELL,4.014946,GTC,True,False,4.014946,TAKER,29519.2,0.0,['71.11000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5a3977a1-13cd-49f0-a481-825b4246f446,2023-08-10 08:00:00+00:00,2023-08-10 08:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-091,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-8c3e92e83a8d7b68-35980,MARKET,SELL,4.187413,GTC,False,False,4.187413,TAKER,28657.31,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0e90ab29-491b-4df8-808b-1ef2df9bceb0,2023-08-17 03:00:00+00:00,2023-08-17 03:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-092,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-098d79d0610baf18-36839,MARKET,BUY,4.187413,GTC,True,False,4.187413,TAKER,26076.0,0.0,['65.51000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8c6c23cf-ae80-4f38-ac32-5f48b709ca11,2023-08-26 04:00:00+00:00,2023-08-26 04:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-093,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-d206c5de1b06cd4f-37186,MARKET,BUY,4.352671,GTC,False,False,4.352671,TAKER,27569.28,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c0fb6cce-9750-4734-abce-aabcaa639d0f,2023-08-29 20:00:00+00:00,2023-08-29 20:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-094,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-18778bab202a66ef-37428,MARKET,SELL,4.352671,GTC,True,False,4.352671,TAKER,26033.969999999998,0.0,['67.99000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e11b3428-d81f-4e4c-bc61-d4d5e0814b4a,2023-09-01 09:00:00+00:00,2023-09-01 09:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-095,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-853c00d56431679e-37548,MARKET,SELL,4.634142,GTC,False,False,4.634142,TAKER,25894.76,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,93e9ccc7-9900-4ee1-b804-9e751cd97170,2023-09-02 15:00:00+00:00,2023-09-02 15:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-096,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-deeb00e1a6c8e667-38092,MARKET,BUY,4.634142,GTC,True,False,4.634142,TAKER,26200.04,0.0,['72.85000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3c6b1a62-b9d1-4004-a8d2-ef3452447297,2023-09-08 08:00:00+00:00,2023-09-08 08:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-097,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-1e6a2bb44caf5ba5-38673,MARKET,BUY,4.537522,GTC,False,False,4.537522,TAKER,26446.15,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d7bf8abd-60ae-4adf-9759-558f28bbd5e5,2023-09-14 11:00:00+00:00,2023-09-14 11:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-098,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-c9aa80124552c6fe-39405,MARKET,SELL,4.537522,GTC,True,False,4.537522,TAKER,26627.769999999997,0.0,['72.49000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6dc4f282-f15d-4c6d-9f57-4adc04e73ffd,2023-09-22 03:00:00+00:00,2023-09-22 03:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-099,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-20120004bdd9503a-39839,MARKET,SELL,4.577017,GTC,False,False,4.577017,TAKER,26217.95,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,51956fbf-14dd-4234-828d-1856a60cd91f,2023-09-26 16:00:00+00:00,2023-09-26 16:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-100,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-fc677a80cd19ae86-40032,MARKET,BUY,4.577017,GTC,True,False,4.577017,TAKER,27059.99,0.0,['74.31000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d7718129-a525-41c8-9cf9-f57c3db5de42,2023-09-28 16:00:00+00:00,2023-09-28 16:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-101,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-2e8b6b1a19654b28-40220,MARKET,BUY,4.445055,GTC,False,False,4.445055,TAKER,26996.289999999997,0.0,['72.00000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,17787f2c-fde0-443a-86d7-94d7d957c3fd,2023-09-30 15:00:00+00:00,2023-09-30 15:00:00+00:00
TESTER-001,TrendFollowStrategy-000,BTC/USDT.SIM,SIM-1-102,BTC/USDT.SIM-TrendFollowStrategy-000,SIM-001,T-a6737283eba2c66c-41081,MARKET,SELL,4.445055,GTC,True,False,4.445055,TAKER,27443.31,0.0,['73.19000000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,02cac65b-1619-49d6-8f5c-0e01aef1ca52,2023-10-09 15:00:00+00:00,2023-10-09 15:00:00+00:00
