ts,o,h,l,c,v
1680393600000,0.923,0.926,0.884,0.907,0.0
1680480000000,0.906,0.936,0.877,0.923,0.0
1680566400000,0.923,1.009,0.911,0.996,0.0
1680652800000,0.995,1.036,0.981,1.002,0.0
1680739200000,1.002,1.016,0.982,1.009,0.0
1680825600000,1.008,1.028,0.993,1.021,0.0
1680912000000,1.021,1.046,1.002,1.023,0.0
1680998400000,1.023,1.038,0.984,1.01,0.0
1681084800000,1.011,1.03,0.989,1.029,0.0
1681171200000,1.029,1.046,1.012,1.018,0.0
1681257600000,1.017,1.047,0.976,1.029,0.0
1681344000000,1.028,1.075,1.014,1.065,0.0
1681430400000,1.066,1.113,1.064,1.09,0.0
1681516800000,1.09,1.106,1.074,1.092,0.0
1681603200000,1.092,1.113,1.065,1.105,0.0
1681689600000,1.104,1.105,1.047,1.051,0.0
1681776000000,1.05,1.115,1.036,1.074,0.0
1681862400000,1.075,1.075,0.931,0.957,0.0
1681948800000,0.957,0.979,0.934,0.943,0.0
1682035200000,0.942,0.957,0.896,0.92,0.0
1682121600000,0.92,0.938,0.912,0.937,0.0
1682208000000,0.937,0.983,0.918,0.944,0.0
1682294400000,0.943,0.967,0.912,0.926,0.0
1682380800000,0.925,0.949,0.894,0.939,0.0
1682467200000,0.939,0.976,0.877,0.918,0.0
1682553600000,0.918,0.958,0.914,0.944,0.0
1682640000000,0.945,0.948,0.914,0.923,0.0
1682726400000,0.923,0.945,0.92,0.929,0.0
1682812800000,0.929,0.948,0.898,0.907,0.0
1682899200000,0.906,0.914,0.871,0.882,0.0
1682985600000,0.882,0.909,0.876,0.904,0.0
1683072000000,0.904,0.983,0.878,0.968,0.0
1683158400000,0.969,0.972,0.914,0.927,0.0
1683244800000,0.927,0.976,0.924,0.953,0.0
1683331200000,0.953,0.962,0.889,0.9,0.0
1683417600000,0.901,0.914,0.881,0.887,0.0
1683504000000,0.887,0.889,0.793,0.831,0.0
1683590400000,0.831,0.845,0.825,0.835,0.0
1683676800000,0.836,0.854,0.797,0.839,0.0
1683763200000,0.838,0.84,0.78,0.799,0.0
1683849600000,0.798,0.816,0.766,0.814,0.0
1683936000000,0.815,0.822,0.798,0.802,0.0
1684022400000,0.803,0.819,0.793,0.806,0.0
1684108800000,0.81941,0.83239,0.81659,0.82767,2942636.0
1684195200000,0.82668,0.83479,0.81421,0.82826,8046532.9000000004
1684281600000,0.82936,0.83794,0.80216,0.83164,12164841.8000000007
1684368000000,0.83168,0.83438,0.79735,0.82668,6955255.2000000002
1684454400000,0.82664,0.8346,0.81544,0.82814,5315711.7000000002
1684540800000,0.82889,0.83289,0.81942,0.82841,3700644.1000000001
1684627200000,0.82848,0.84247,0.8164,0.83451,5394395.5999999996
1684713600000,0.83481,0.85545,0.82112,0.84896,9088501.0
1684800000000,0.84925,0.88081,0.84516,0.86446,8689062.9000000004
1684886400000,0.8634,0.88398,0.80748,0.82878,21105999.6000000015
1684972800000,0.82878,0.83557,0.81266,0.82206,18207161.0
1685059200000,0.8225,0.87094,0.81858,0.85254,21614098.8999999985
1685145600000,0.85253,0.8565,0.84236,0.84764,14097685.8000000007
1685232000000,0.84767,0.87389,0.84346,0.86068,23349949.5
1685318400000,0.86066,0.86665,0.84706,0.85367,41206047.1000000015
1685404800000,0.85332,0.86481,0.82419,0.83647,13700684.6999999993
1685491200000,0.83671,0.83715,0.80739,0.81762,6076872.9000000004
1685577600000,0.81766,0.82072,0.80217,0.81066,6190600.4000000004
1685664000000,0.81055,0.85889,0.80748,0.85131,14146669.3000000007
1685750400000,0.85242,0.86059,0.84208,0.85036,7235557.2999999998
1685836800000,0.85124,0.8636,0.84631,0.84783,7392160.2999999998
1685923200000,0.84773,0.8489,0.76134,0.77234,26843506.3000000007
1686009600000,0.77154,0.8007,0.75619,0.8005,52701437.6000000015
1686096000000,0.80057,0.80057,0.75225,0.7545,61518293.799999997
1686182400000,0.7546,0.76891,0.74685,0.75955,52551973.200000003
1686268800000,0.75955,0.76512,0.74632,0.75763,51061446.299999997
