bucket_low,bucket_high,count
-6.046854429992231,-5.845292615659156,4
-5.845292615659156,-5.6437308013260825,5
-5.6437308013260825,-5.442168986993008,4
-5.442168986993008,-5.240607172659933,6
-5.240607172659933,-5.0390453583268595,5
-5.0390453583268595,-4.837483543993785,16
-4.837483543993785,-4.63592172966071,6
-4.63592172966071,-4.4343599153276365,20
-4.4343599153276365,-4.232798100994562,11
-4.232798100994562,-4.031236286661487,24
-4.031236286661487,-3.829674472328413,43
-3.829674472328413,-3.628112657995339,35
-3.628112657995339,-3.4265508436622643,54
-3.4265508436622643,-3.22498902932919,51
-3.22498902932919,-3.0234272149961154,88
-3.0234272149961154,-2.8218654006630413,88
-2.8218654006630413,-2.620303586329967,105
-2.620303586329967,-2.4187417719968924,170
-2.4187417719968924,-2.2171799576638183,230
-2.2171799576638183,-2.0156181433307436,322
-2.0156181433307436,-1.8140563289976699,400
-1.8140563289976699,-1.6124945146645953,541
-1.6124945146645953,-1.4109327003315206,720
-1.4109327003315206,-1.2093708859984469,921
-1.2093708859984469,-1.0078090716653723,1403
-1.0078090716653723,-0.8062472573322976,2088
-0.8062472573322976,-0.604685442999223,3017
-0.604685442999223,-0.40312362866614926,4471
-0.40312362866614926,-0.20156181433307463,6699
-0.20156181433307463,0.0,8715
0.0,0.20156181433307374,9155
0.20156181433307374,0.40312362866614837,6389
0.40312362866614837,0.604685442999223,4164
0.604685442999223,0.8062472573322967,2815
0.8062472573322967,1.0078090716653714,1920
1.0078090716653714,1.209370885998446,1293
1.209370885998446,1.4109327003315197,972
1.4109327003315197,1.6124945146645944,667
1.6124945146645944,1.814056328997669,514
1.814056328997669,2.0156181433307436,397
2.0156181433307436,2.2171799576638174,293
2.2171799576638174,2.418741771996891,207
2.418741771996891,2.6203035863299666,170
2.6203035863299666,2.8218654006630404,140
2.8218654006630404,3.023427214996114,113
3.023427214996114,3.2249890293291896,86
3.2249890293291896,3.4265508436622634,80
3.4265508436622634,3.628112657995337,67
3.628112657995337,3.8296744723284126,55
3.8296744723284126,4.031236286661486,41
4.031236286661486,4.232798100994562,39
4.232798100994562,4.434359915327636,28
4.434359915327636,4.635921729660709,18
4.635921729660709,4.837483543993785,9
4.837483543993785,5.039045358326859,17
5.039045358326859,5.240607172659932,10
5.240607172659932,5.442168986993008,18
5.442168986993008,5.643730801326082,3
5.643730801326082,5.845292615659155,7
5.845292615659155,6.046854429992231,4
