bucket_low,bucket_high,count
-1.3537922805328597,-1.3086658711817645,3
-1.3086658711817645,-1.263539461830669,5
-1.263539461830669,-1.2184130524795738,8
-1.2184130524795738,-1.1732866431284785,10
-1.1732866431284785,-1.128160233777383,8
-1.128160233777383,-1.0830338244262878,14
-1.0830338244262878,-1.0379074150751926,14
-1.0379074150751926,-0.9927810057240971,16
-0.9927810057240971,-0.9476545963730018,17
-0.9476545963730018,-0.9025281870219064,23
-0.9025281870219064,-0.8574017776708112,26
-0.8574017776708112,-0.8122753683197158,47
-0.8122753683197158,-0.7671489589686205,61
-0.7671489589686205,-0.7220225496175252,62
-0.7220225496175252,-0.6768961402664299,74
-0.6768961402664299,-0.6317697309153345,96
-0.6317697309153345,-0.5866433215642392,115
-0.5866433215642392,-0.5415169122131438,141
-0.5415169122131438,-0.49639050286204855,198
-0.49639050286204855,-0.4512640935109532,270
-0.4512640935109532,-0.40613768415985785,362
-0.40613768415985785,-0.3610112748087626,477
-0.3610112748087626,-0.31588486545766714,686
-0.31588486545766714,-0.2707584561065719,897
-0.2707584561065719,-0.22563204675547666,1236
-0.22563204675547666,-0.1805056374043812,1865
-0.1805056374043812,-0.13537922805328595,2786
-0.13537922805328595,-0.0902528187021907,4245
-0.0902528187021907,-0.04512640935109524,6793
-0.04512640935109524,0.0,9207
0.0,0.045126409351095464,10309
0.045126409351095464,0.0902528187021907,6619
0.0902528187021907,0.13537922805328595,4129
0.13537922805328595,0.1805056374043814,2689
0.1805056374043814,0.22563204675547666,1871
0.22563204675547666,0.2707584561065721,1165
0.2707584561065721,0.31588486545766736,846
0.31588486545766736,0.3610112748087626,609
0.3610112748087626,0.40613768415985807,531
0.40613768415985807,0.4512640935109533,363
0.4512640935109533,0.49639050286204855,274
0.49639050286204855,0.541516912213144,175
0.541516912213144,0.5866433215642393,159
0.5866433215642393,0.6317697309153345,137
0.6317697309153345,0.67689614026643,107
0.67689614026643,0.7220225496175254,102
0.7220225496175254,0.7671489589686205,64
0.7671489589686205,0.8122753683197159,53
0.8122753683197159,0.8574017776708114,47
0.8574017776708114,0.9025281870219064,45
0.9025281870219064,0.9476545963730019,37
0.9476545963730019,0.9927810057240973,26
0.9927810057240973,1.0379074150751924,25
1.0379074150751924,1.0830338244262878,11
1.0830338244262878,1.1281602337773833,14
1.1281602337773833,1.1732866431284783,12
1.1732866431284783,1.2184130524795738,12
1.2184130524795738,1.2635394618306692,8
1.2635394618306692,1.3086658711817647,13
1.3086658711817647,1.3537922805328597,2
