coin,tf,n,mean,stdev,skew,kurtosis,p50,p90,p99,p99_9,min,max,v0_count
AAVE,1d,1320,0.14850113950281207,4.682295638175975,0.469390482512121,6.087780780778168,-0.08317170604026924,5.630096020767947,14.162418721248327,21.146671559936884,-19.147224456958966,28.08632881555686,196
AAVE,1h,5001,-0.009991289446774666,0.8547685526006554,-0.14554551120043832,9.114008333876146,-0.018368846436445097,0.9127204518542431,2.436157276043782,4.349160755594181,-7.010475423045925,5.270485957822535,0
AAVE,1w,189,0.8663911084905599,11.660858346678197,0.5891018499343287,4.108311326726165,-0.08009286128844995,14.40936195438037,34.35247191144459,38.10170160217859,-34.795950155763244,38.82051199328955,27
AAVE,5m,5018,-0.00249907753141114,0.17784482218612255,-0.2197527832566532,8.991651068425131,-0.002210494624832471,0.19692811983532685,0.47431783962509905,0.7746255597358191,-2.002311594357997,1.0920971694212689,0
BTC,1d,1320,0.1309850447164568,2.4344192552249586,0.40746520109333423,6.471389712459965,0.007023160367780612,2.85350360809013,7.744375908311696,11.378545380329639,-14.01697950702011,12.118803065475237,55
BTC,1h,5002,-0.006994827853251687,0.47972685423527706,-0.2540572293699634,11.670781401876761,-0.003082690311856373,0.45821863992726153,1.4181031930137022,2.487225676028348,-4.866613301096168,3.423999496007424,0
BTC,1w,189,0.8944457196904858,6.4050678122351,0.5392093198785023,4.685473729655587,0.17579166868726404,7.586746784213466,20.70494275080194,21.931517860659493,-18.066445629284466,21.944909983824523,7
BTC,5m,5031,-0.0005224250304237958,0.08317608863796382,0.3759246525886403,10.453601683977716,-0.0015390534821135837,0.08718938780594154,0.23504003966106699,0.4836058168453113,-0.5682720086351956,0.7730291700190906,0
CRV,1d,1320,0.0819875002966928,5.2479388750029194,0.30328101872686797,6.474264101469511,-0.2506752063853368,6.144367874560995,15.881048364145016,24.182486415474912,-32.03210457230365,25.900330752600766,133
CRV,1h,5001,-0.007004848267362894,0.8627268694184539,0.07175972988234293,7.0766610927635085,-0.012847965738760347,0.921512551636483,2.560808496060285,4.13699111931773,-6.005665722379594,4.811427646487543,0
CRV,1w,189,0.5557645126102753,15.406029867752723,2.8307979234410543,20.263230528778486,-0.3438988023664158,13.708409311188898,47.001408482428275,105.97576981971369,-31.249292471901025,115.15777056915364,18
CRV,5m,5024,0.004003598145344719,0.23877769184131473,0.2111002363630134,11.668723907397322,0.0,0.24058011490583725,0.745747900252122,1.263974335200806,-2.0476806505266953,2.128603104212856,0
DOGE,1d,1320,0.09651177855009936,4.426886494633416,0.670482204673277,7.6706370032319064,-0.08067250074405563,4.843066224023717,13.415646883559482,25.10049791743863,-22.315179792454344,27.051949237651797,91
DOGE,1h,5001,-0.011193227932631403,0.6725103872233702,-0.11787022777618256,10.407826380263337,-0.002165509923435227,0.6576475009394844,1.90439812288552,3.810787752393609,-5.699809172863068,4.250005754137232,0
DOGE,1w,189,0.6412180535616245,12.589011373364096,3.177612799987161,26.187865456429297,0.1956947162426559,12.815181159853577,36.29274950825539,90.84491608704785,-26.15215435369388,103.25567199104691,12
DOGE,5m,5026,-0.0006447873116957651,0.11686561382376454,-0.05846440825292743,11.524449478923707,0.0,0.12355668268186903,0.32575699187660234,0.5697734531982351,-1.2136980726183966,1.0773863036374287,0
ETH,1d,1320,0.08838455392966989,3.3050334866277185,0.5204060742520579,7.607108468212095,0.02492745965295695,3.7468172295761444,10.15845082251808,17.819637755673465,-14.9913869360771,22.007508833922262,55
ETH,1h,5002,-0.009177465456941387,0.6348979249603933,-0.026309055650922914,12.078074678618428,-0.004310811038737983,0.5747847173190302,1.860671601923475,3.9031089818416365,-6.000734034744304,4.388543304395376,0
ETH,1w,189,0.5603430879349768,8.603725690673793,0.7363994440001423,7.330288957303151,-0.01672240802674807,9.380281561537457,24.13067345568944,41.25997624914568,-28.63645424945179,44.0702296819788,7
ETH,5m,5031,-0.000745629930636105,0.11469606662740865,0.6030039714955494,17.785908649090995,0.0,0.11552194917032743,0.3355821053923202,0.6096318951830606,-0.8303802824350837,1.6681671344595639,0
HYPE,1d,616,0.39871158528996453,5.595952708292384,0.5096404669532201,4.359582749528947,0.07523621524150315,7.32748551333553,14.506921154064294,23.807531447154055,-15.030925959614338,24.11194833153929,0
HYPE,1h,4999,0.021385462761056406,1.0115646599152741,0.3077963814515789,7.842893553165024,0.007425448497078158,1.134112524969444,2.965645771736923,4.741665116194196,-7.06066697266583,9.38677113153532,0
HYPE,1w,88,2.5496986397422536,15.527401913568722,0.9416965057768693,4.668036749852268,0.49403790874909537,20.06545329372226,46.08596734541035,58.5141063508192,-28.546524881659586,59.895010684753316,0
HYPE,5m,5003,-0.0005378151307444214,0.17661896538547836,-0.15992134002858716,5.916597867402146,0.0,0.20388230929621723,0.4648638212542495,0.6958419812441835,-1.1797350190190903,0.9490728558146033,0
LIT,1d,234,0.012417468584862909,6.831318723377888,-0.08397882867893783,3.615174201900699,0.1458208938906913,8.311694966097289,14.790491847657002,20.165234816282712,-20.310300416329696,20.35775765287029,0
LIT,1h,5001,0.014518466383194834,1.4964765499545971,0.45232189822970215,6.443039633198077,-0.04819741661848953,1.6798182687709273,4.436894174078154,7.521773555027703,-9.430671483742369,9.197553974790962,0
LIT,1w,34,0.49202232182225575,19.41234899698139,0.9003282929075168,4.373071955972283,-0.4482925128702353,23.29097096870135,53.165655013785155,57.73949250350474,-30.481487366915626,58.24769666902905,0
LIT,5m,5020,0.0009024274789770216,0.32266316604259593,0.2252367963095073,5.613854214823128,-0.00938836097482132,0.3840703955161123,0.907615369685014,1.3550300538427873,-1.8361206972834276,2.0230473751600586,0
