bucket_low,bucket_high,count
-104.68392382042113,-101.19445969307375,0
-101.19445969307375,-97.70499556572639,0
-97.70499556572639,-94.21553143837902,0
-94.21553143837902,-90.72606731103164,0
-90.72606731103164,-87.23660318368428,0
-87.23660318368428,-83.7471390563369,0
-83.7471390563369,-80.25767492898953,0
-80.25767492898953,-76.76821080164217,0
-76.76821080164217,-73.2787466742948,0
-73.2787466742948,-69.78928254694742,0
-69.78928254694742,-66.29981841960006,0
-66.29981841960006,-62.81035429225268,0
-62.81035429225268,-59.32089016490531,0
-59.32089016490531,-55.83142603755794,0
-55.83142603755794,-52.341961910210564,0
-52.341961910210564,-48.852497782863196,0
-48.852497782863196,-45.36303365551583,1
-45.36303365551583,-41.87356952816845,0
-41.87356952816845,-38.384105400821085,0
-38.384105400821085,-34.89464127347371,2
-34.89464127347371,-31.40517714612635,3
-31.40517714612635,-27.915713018778973,6
-27.915713018778973,-24.426248891431598,13
-24.426248891431598,-20.936784764084237,19
-20.936784764084237,-17.447320636736862,26
-17.447320636736862,-13.957856509389487,53
-13.957856509389487,-10.468392382042111,99
-10.468392382042111,-6.97892825469475,150
-6.97892825469475,-3.489464127347375,249
-3.489464127347375,0.0,304
0.0,3.489464127347361,324
3.489464127347361,6.978928254694736,219
6.978928254694736,10.468392382042111,154
10.468392382042111,13.957856509389472,65
13.957856509389472,17.447320636736848,63
17.447320636736848,20.936784764084223,41
20.936784764084223,24.426248891431598,19
24.426248891431598,27.91571301877896,14
27.91571301877896,31.40517714612632,10
31.40517714612632,34.89464127347371,13
34.89464127347371,38.38410540082107,8
38.38410540082107,41.87356952816843,5
41.87356952816843,45.36303365551582,5
45.36303365551582,48.85249778286318,2
48.85249778286318,52.34196191021054,2
52.34196191021054,55.83142603755793,0
55.83142603755793,59.32089016490529,3
59.32089016490529,62.810354292252654,3
62.810354292252654,66.29981841960004,0
66.29981841960004,69.7892825469474,2
69.7892825469474,73.2787466742948,0
73.2787466742948,76.76821080164216,1
76.76821080164216,80.25767492898952,0
80.25767492898952,83.7471390563369,0
83.7471390563369,87.23660318368427,0
87.23660318368427,90.72606731103163,0
90.72606731103163,94.21553143837902,0
94.21553143837902,97.70499556572638,0
97.70499556572638,101.19445969307374,0
101.19445969307374,104.68392382042113,1
