feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next,range_p90_next,split1_median,split2_median,h1_n,h2_n
body_pos,lower,1d,1176,0.30955947126329314,0.1369869808111157,8.123286172208994,15.182461040064984,3.588806855632233,2.4271680819273667,6.698339808235471,15.084738766998896,0.6354708261120834,-0.24125452352232735,529,647
body_pos,mid,1d,7768,0.13803018259332855,-0.028093591556926922,6.956069627263943,15.688162776155263,3.0925534308143705,2.0919443003193097,5.468025966768636,12.882115125925358,0.026449428692343346,-0.0857857523410499,3887,3881
body_pos,upper,1d,1306,-0.02352187339778251,-0.509784114467049,7.152951695690863,18.8528089093969,3.3230304477342214,2.2427485365334343,6.160993794529908,13.536158119989626,-0.511745483691961,-0.4630586678794457,711,595
body_pos,lower,1h,9047,0.0066356242409771815,0.010128633647310537,1.4738345020649353,3.5492276356709724,0.6333667576706309,0.4001391788448161,1.0279350878027842,2.5414700616895383,0.0026182176029010407,0.019041645198147883,4520,4527
body_pos,mid,1h,41953,-0.0008050246021742172,-0.008980691513249539,1.3805819051296586,3.3796471110654767,0.5967631516313278,0.37835620185076024,0.9593702595219586,2.3938191781656886,-0.01572641003964592,-0.0026289154409275817,21234,20719
body_pos,upper,1h,9014,-0.01310742114446957,-0.031585694520580576,1.4855385893811122,3.4923853893329624,0.6462049201391168,0.413906200086972,1.019893389401804,2.590183360999435,-0.039024390243902474,-0.024561448866944335,4257,4757
body_pos,lower,1w,144,1.080000608811601,-0.4797969279208836,20.42369521298737,42.166790765785464,9.217186674289364,7.039552304644581,20.24740461556201,42.8171538810778,0.21663011400427923,-1.5296069892552389,68,76
body_pos,mid,1w,1133,0.7051830568786428,-0.10126798933121073,17.202120361194545,43.6151261648214,8.168308378900612,5.391517554384695,15.910503418272215,37.28837224276699,0.2901916017865491,-0.508280982295839,568,565
body_pos,upper,1w,191,2.092581598254843,0.7403645694125105,21.629972962533795,44.15961422204598,9.257864665049695,6.850110298386158,17.959704157102784,41.98473282442749,1.1221310954288244,0.27601749008541177,101,90
body_pos,lower,5m,15115,0.001190550889316073,0.0,0.28812612399578,0.7487319324161064,0.1231316751980793,0.07498500299939481,0.15026941158791896,0.44132135601692674,0.0,0.0,7498,7617
body_pos,mid,5m,30267,-0.00022421116767750655,0.0,0.3172496045216856,0.7887021060115884,0.13463166898906734,0.08263703975761594,0.17018560867946847,0.4975372005058157,-0.004048856198124451,0.0,15327,14940
body_pos,upper,5m,14892,0.0017378580416198188,0.0,0.29306037125165657,0.757302560403883,0.12583357429847014,0.07701141343534612,0.15069013701065137,0.4536288950978975,-0.0010118180346352368,0.0,7315,7577
cooloff,never,1d,97,0.10513943959288452,0.36198143530896676,4.827672315960671,8.391770205298945,2.328056513615043,1.765517705668529,4.182843064058533,8.153887272636712,0.36198143530896676,,97,0
cooloff,0,1d,533,0.35265315098998784,-0.06530038175608377,11.683865101604214,20.80598138969589,4.844158225083558,3.369636042073909,10.039678877918238,24.466084829425785,0.05214176702309503,-0.25909368014630507,290,243
cooloff,1-2,1d,877,0.3024763332070396,-0.2097560975609758,9.23166152750777,18.978893518592937,4.03958792558294,2.7753467926084685,7.82113732143835,18.40203670829697,0.003546916842545045,-0.3452050841719234,463,414
cooloff,3-5,1d,1058,0.2025311283245336,-0.0855741542837074,8.014538233698497,16.542582295608785,3.6865795786833027,2.5984417873636922,7.050074199588075,14.738885840132996,0.4366613256450158,-0.6364821243026619,540,518
cooloff,6+,1d,7685,0.09470767688028643,-0.05509979184523672,6.541321267526215,14.543841957924629,2.905971640436833,1.9765793988215097,5.167862355973784,11.506151417731687,-0.022379375167846938,-0.0755843495762798,3737,3948
cooloff,0,1h,3200,0.03265585448158181,-0.004726063075866094,2.418874353564088,5.361098695530823,1.0899657154450302,0.7585601548117882,1.9072867250430288,4.201055047722494,-0.0181648629035136,0.014099187120741874,1760,1440
cooloff,1-2,1h,4931,0.030947842521500273,0.008873114463181508,1.9642155637298764,4.280200174697277,0.8775124028515587,0.5934405506004881,1.5026185698203642,3.3769536095261676,0.007374848815588919,0.017570077222062164,2705,2226
cooloff,3-5,1h,5680,-0.029705392610848487,-0.03572445568538196,1.7125691896262014,3.785031980494931,0.7362701176978997,0.4808126524125378,1.2376799162746113,2.9063512387878414,-0.027010851395559143,-0.05393512696794667,3080,2600
cooloff,6+,1h,46203,-0.0039016279161115824,-0.007344435671918781,1.2105701023725506,2.910330562743476,0.5323041034296493,0.3454816420539242,0.8687386126587682,2.0608204723952275,-0.017270536841956785,0.0,22466,23737
cooloff,0,1w,66,4.917109888555298,2.591775798847562,28.987226917671627,79.55774975421943,12.713813614188323,7.964440971315684,23.65655294311405,66.23177525967893,3.9294554455445496,-4.112729654699143,43,23
cooloff,1-2,1w,117,1.9989364329154404,0.6901879989698712,22.363021706645306,49.01969129090652,8.895612505957148,5.309446254071659,18.447052275151897,44.36775538593881,0.8285728156911087,0.11655615289530297,69,48
cooloff,3-5,1w,167,-0.22020743438203372,-1.0020218839200679,19.85556418657754,41.22337360446996,9.15301765583527,6.776085614323934,18.53056436778545,42.216062871979354,-0.9036291719183298,-1.0020218839200679,98,69
cooloff,6+,1w,1118,0.7446738842800459,-0.024513040155005328,17.31621547422731,40.890399675808744,7.9980036808216886,5.546591389537864,15.587365804240871,36.00307941121695,0.3599210495762062,-0.24818457578821285,527,591
cooloff,0,5m,3172,0.009733793278815227,0.003944255524224172,0.48996932241633934,0.9750233341907285,0.21171429906850325,0.14449768126772455,0.3055174304373859,0.753921267107486,0.005272037115156003,0.0028182112812968896,1827,1345
cooloff,1-2,5m,4937,0.0029377218843837584,0.0,0.3986818912612833,0.9450738134664726,0.17630148018805605,0.11336797354748462,0.2470708891444199,0.659459422329023,-0.004597278411166972,0.004141091495490912,2795,2142
cooloff,3-5,5m,5776,-0.008187868887630633,-0.0055771333869525375,0.3631050360464072,0.8279316864093084,0.1585838493156249,0.10530970657310346,0.21640941080473786,0.5538809471538229,-0.008869033727165743,-0.0027913455349193317,3172,2604
cooloff,6+,5m,46392,0.0008464086438014298,0.0,0.26748594974638995,0.6932860008326647,0.11537054948006725,0.07058869673353119,0.13973475935295182,0.4152554672701781,0.0,0.0,22348,24044
dom,1,1d,337,0.8139084067262767,0.7363374880153373,8.995497047916164,19.183744455507078,4.084164754189562,3.020975016107097,6.366721157180372,14.962157275082266,-0.07271838243534945,1.4005237024240058,166,171
dom,2,1d,338,-0.3876254195880004,-0.09583485659188096,7.8107327322174775,18.387614746801432,3.2474317480541934,2.063255766471228,5.485213189292274,16.528575000696357,-0.6521416926041357,0.5534087114164477,167,171
dom,3,1d,339,0.18973692330348257,0.12138337246785369,6.831979615839736,18.15191255508815,3.2406138796346156,2.272522725227266,5.881470086111474,13.735558809392574,0.49876683033222013,-0.31577924601631224,168,171
dom,4,1d,340,-1.086109745033216,-0.12373219212468145,8.348013580802277,18.462799343215792,3.4683945905729363,2.068468588242828,5.706632580481818,16.93694126411164,-0.34222929362672794,-0.01949412739412626,169,171
dom,5,1d,341,0.7930463278701892,0.07673124880105409,8.974081917851628,18.746200261262192,3.721767871913843,2.401061287317219,6.047141696017334,15.321298288279877,0.8210846286725526,-0.12644310060472286,170,171
dom,6,1d,341,0.2212595669721031,-0.1186068503470028,7.296058661778182,18.417084643998795,3.4318016806055285,2.449685226864995,6.336674447343121,13.01739652069586,-0.3602308525160858,0.0351123595505598,170,171
dom,7,1d,341,0.952086819088353,0.27672009209245285,6.588093546294305,17.104177101179346,2.9874543522750727,1.8941187612463328,5.094311081115676,11.894314256371963,0.40358744394619617,0.14531090625424792,169,172
dom,8,1d,341,0.5794302619376,0.24943098556418075,7.94810696319831,14.683682842415195,3.4371073563054004,2.4230830543599646,6.274757987014505,14.214463840398995,0.10794896957802003,0.3322974774933152,169,172
dom,9,1d,341,0.2601290360702159,0.48661800486617945,8.291186270044825,24.020811548623524,3.706904293500241,2.282085093786168,5.806811836962587,14.52965490306691,0.3700140605342961,0.6510541251722235,167,174
dom,10,1d,342,0.3185205138121557,-0.3498096068254464,7.43668196618414,19.006307248521257,3.321405729766989,2.1961511275996495,6.279721028793965,14.104203682835488,-0.3946916428056946,-0.15058780550611384,168,174
dom,11,1d,342,0.5436493435444435,-0.07669466839458905,7.615710585916004,20.100079106606355,3.4350102031218763,2.2507423935732405,6.424969646546398,14.037238365668886,0.4447647307277425,-0.19289623511442033,168,174
dom,12,1d,342,1.021413873803578,0.7751050949784677,7.444069119526646,18.118749805859174,3.504103619099814,2.298840143928349,6.328111752420602,14.511307238261383,0.8460073652556077,0.6506075604739925,168,174
dom,13,1d,330,0.48798709577562405,0.24868076093804703,7.319675391631098,14.616208432340613,3.5592835965622176,2.6957267027522827,6.106295392791529,14.195488154509308,0.24868076093804703,0.2483198636315076,168,162
dom,14,1d,330,0.1797922045647712,0.03415235989473464,7.285125490482325,14.827132743024716,3.309181875166175,2.5396504291249733,6.134829437619503,13.163813522847969,0.33930704898446074,-0.49719822083662546,167,163
dom,15,1d,332,0.05021994631447064,-0.13346568391696678,6.657653304772899,15.20562118723695,2.906184970968406,1.7890200315664573,5.524865263498535,11.480407031332145,0.07128444911619347,-0.2932305630026888,169,163
dom,16,1d,332,-0.4554284719522201,-0.7831599167761716,6.251418087305651,13.63075725913983,2.8971348145906823,2.120457447059204,6.072793915587658,12.409899786397059,-0.7343491830365312,-0.8616716173307393,169,163
