feature,tf,buckets,dir_rho,dir_p,vol_rho,vol_p,dir_maxdev,vol_spread,overall_med,overall_absmed
hour,1d,1,,,,,,,,
hour,1h,24,0.24440096250730564,0.2497495867568896,0.6,0.0019393928765259096,0.06201422463005812,1.5763187677211978,-0.008296288312198419,0.3863206674005637
hour,1w,1,,,,,,,,
hour,5m,24,0.19977976073991346,0.3492977638244678,0.643478260869565,0.0006930942447544287,0.010446046427997624,1.7528351148580432,0.0,0.07926272233864662
weekday,1d,7,0.8928571428571429,0.006807187408935393,0.5357142857142858,0.21521745567801298,0.5325396654590087,1.9085019273209791,-0.06463202918274846,2.1563011880696092
weekday,1h,7,-0.5714285714285715,0.18020198891152767,0.8928571428571429,0.006807187408935393,0.015287613703607317,1.5794667925430164,-0.008296288312198419,0.3863206674005637
weekday,1w,1,,,,,,,,
weekday,5m,7,-0.21182963643408084,0.6484004847141032,0.5357142857142858,0.21521745567801298,0.00488019130351347,1.6210094151711416,0.0,0.07926272233864662
dom,1d,31,0.17822580645161293,0.3374326424355936,0.31008064516129036,0.0895754374260692,0.8397371241612162,2.4472086742797963,-0.06463202918274846,2.1563011880696092
dom,1h,31,-0.15057025082348083,0.41879494711668813,0.048387096774193554,0.7960302182567855,0.06068771893799618,1.5068310203016249,-0.008296288312198419,0.3863206674005637
dom,1w,0,,,,,,,,
dom,5m,1,,,,,,,,
vol_pct,1d,3,-1.0,0.0,0.5,0.6666666666666666,0.06463202918274846,1.580798013136819,-0.06463202918274846,2.1563011880696092
vol_pct,1h,4,0.632455532033676,0.367544467966324,1.0,0.0,0.11446091425883487,3.3923930705885117,-0.008296288312198419,0.3863206674005637
vol_pct,1w,2,,,,,,,,
vol_pct,5m,4,0.7745966692414834,0.22540333075851665,1.0,0.0,0.01909827405583986,2.451851409768945,0.0,0.07926272233864662
vol_chg,1d,10,-0.2727272727272727,0.4458383415427516,0.5272727272727272,0.11730806555020232,0.18233716656781418,1.2905077414200492,-0.06412081997209107,2.1563011880696092
vol_chg,1h,10,-0.11550205329921227,0.750683041040583,0.4787878787878787,0.16152292801745594,0.013198691970184306,1.1323506290625271,-0.008311827782225834,0.38632839017090914
vol_chg,1w,10,-0.9030303030303028,0.0003436121977632824,0.23636363636363633,0.5108853175152003,1.0427894850068342,1.4008204370099222,0.004957858205256738,5.5899781860315745
vol_chg,5m,10,0.3211009174311927,0.3656437951904018,0.4424242424242424,0.20042268671194213,0.002826655360044228,1.1774454930881582,0.0,0.07926272233864662
vol_per_move,1d,3,1.0,0.0,-0.5,0.6666666666666666,0.08336157404504885,1.094666529746681,-0.06357448314315839,2.1564783957752853
vol_per_move,1h,4,0.7999999999999999,0.2000000000000001,0.7999999999999999,0.2000000000000001,0.04202021585709703,1.1977309291095921,-0.008196721311470867,0.3868312757201675
vol_per_move,1w,3,-0.5,0.6666666666666666,-0.5,0.6666666666666666,1.281694653265475,1.0109406197364892,0.009915716410513475,5.5992141453831135
vol_per_move,5m,4,-0.8164965809277261,0.18350341907227385,0.39999999999999997,0.6,0.004215140785701621,1.1524933168055322,0.0,0.07960890177093338
vol_ma20,1d,5,-0.9999999999999999,1.4042654220543602e-24,0.9999999999999999,1.4042654220543602e-24,0.12449385151043213,1.5203231543924862,-0.058004215220230915,2.1549394371109196
vol_ma20,1h,5,0.6155870112510925,0.2689977701158222,0.9999999999999999,1.4042654220543602e-24,0.018493871827435227,1.4801252148234045,-0.008526432130445682,0.3863206674005637
vol_ma20,1w,4,-0.19999999999999998,0.8,-0.39999999999999997,0.6,1.3321207280088065,1.3064182108455995,-0.020340257782214266,5.542272599372466
vol_ma20,5m,5,,,0.8999999999999998,0.03738607346849874,0.0,1.183672600764422,0.0,0.0792409550620321
body_pos,1d,3,0.5,0.6666666666666666,1.0,0.0,0.4451520852843005,1.1602450799272663,-0.06463202918274846,2.1563011880696092
body_pos,1h,3,1.0,0.0,1.0,0.0,0.023289406208382157,1.0939590736515379,-0.008296288312198419,0.3863206674005637
body_pos,1w,3,1.0,0.0,0.5,0.6666666666666666,0.7607048271947248,1.305671776755991,-0.020340257782214266,5.61993392108927
body_pos,5m,3,,,0.5,0.6666666666666666,0.0,1.1020475622076442,0.0,0.07925519887008181
cooloff,1d,4,-0.7999999999999999,0.2000000000000001,0.7999999999999999,0.2000000000000001,0.14512406837822733,1.7047815251352805,-0.06463202918274846,2.1563011880696092
cooloff,1h,4,0.7999999999999999,0.2000000000000001,1.0,0.0,0.027428167373183543,2.1956598049669713,-0.008296288312198419,0.3863206674005637
cooloff,1w,3,1.0,0.0,0.5,0.6666666666666666,0.9816816261378536,1.2762320758266557,-0.020340257782214266,5.61993392108927
cooloff,5m,4,0.39999999999999997,0.6,1.0,0.0,0.0055771333869525375,2.0470371030250933,0.0,0.07926272233864662
