ts_ns,equity
1738913700000000000,96069.98000000001
1738914000000000000,96069.98000000001
1738914300000000000,96069.98000000001
1738914600000000000,96069.98000000001
1738914900000000000,96069.98000000001
1738915200000000000,96069.98000000001
1738915500000000000,96069.98000000001
1738915800000000000,96069.98000000001
1738916100000000000,96069.98000000001
1738916400000000000,96069.98000000001
1738916700000000000,96069.98000000001
1738917000000000000,96069.98000000001
1738917300000000000,96069.98000000001
1738917600000000000,96069.98000000001
1738918500000000000,96069.98000000001
1738920300000000000,96068.98999999999
1738922100000000000,96068.98999999999
1738923900000000000,96068.98999999999
1738925700000000000,96194.8
1738927500000000000,96194.8
1738928700000000000,96194.8
1738929000000000000,96197.3
1738929300000000000,96197.3
1738929600000000000,96197.3
1738929900000000000,96197.3
1738930200000000000,96197.3
1738930500000000000,96197.3
1738930800000000000,96197.3
1738931100000000000,96197.3
1738931400000000000,96197.3
1738931700000000000,96197.3
1738932000000000000,96197.3
1738932300000000000,96197.3
1738932600000000000,96197.3
1738932900000000000,96197.3
1738933200000000000,96197.3
1738933500000000000,96197.3
1738933800000000000,96197.3
1738934100000000000,96197.3
1738934400000000000,96197.3
1738934700000000000,96197.3
1738935000000000000,96197.3
1738935300000000000,96197.3
1738935600000000000,96197.3
1738935900000000000,96197.3
1738936200000000000,96197.3
1738936500000000000,96197.3
1738936800000000000,96197.3
1738937100000000000,96197.3
1738937400000000000,96197.3
1738937700000000000,96197.3
1738938000000000000,96197.3
1738938300000000000,96197.3
1738938600000000000,96197.3
1738938900000000000,96197.3
1738939200000000000,96197.3
1738939500000000000,96197.3
1738939800000000000,96197.3
1738940100000000000,96197.3
1738940400000000000,96197.3
1738940700000000000,96197.3
1738941000000000000,96197.3
1738941300000000000,96197.3
1738941600000000000,96197.3
1738941900000000000,96197.3
1738942200000000000,96197.3
1738942500000000000,96197.3
1738942800000000000,96197.3
1738943100000000000,96197.3
1738943700000000000,96197.3
1738945500000000000,96197.3
1738947300000000000,96196.3
