ts_ns,equity
1754646900000000000,99986.26999999999
1754648700000000000,99986.26999999999
1754650500000000000,99986.26999999999
1754652300000000000,99986.26999999999
1754654100000000000,99986.26999999999
1754655900000000000,99986.26999999999
1754657700000000000,99986.26999999999
1754659500000000000,99986.26999999999
1754661300000000000,99986.26999999999
1754663100000000000,99986.26999999999
1754664900000000000,99986.26999999999
1754666700000000000,99986.26999999999
1754668500000000000,99986.26999999999
1754670300000000000,99986.26999999999
1754672100000000000,99986.26999999999
1754673900000000000,99986.26999999999
1754675700000000000,99965.17
1754677500000000000,99965.17
1754679300000000000,99965.17
1754681100000000000,99965.17
1754682900000000000,99965.17
1754684700000000000,99965.17
1754686500000000000,99965.17
1754688300000000000,99965.17
1754690100000000000,99965.17
1754691900000000000,99965.17
1754693700000000000,99965.17
1754695500000000000,99965.17
1754697300000000000,99965.17
1754699100000000000,99965.17
1754700900000000000,99965.17
1754702700000000000,99965.17
1754704500000000000,99937.98000000001
1754706300000000000,99937.98000000001
1754708100000000000,99937.98000000001
1754709900000000000,99937.98000000001
1754711700000000000,99937.98000000001
1754713500000000000,99937.98000000001
1754715300000000000,99936.6
1754717100000000000,99936.6
1754718900000000000,99936.6
1754720700000000000,99936.6
1754722500000000000,99936.6
1754724300000000000,99936.6
1754726100000000000,99936.6
1754727900000000000,99936.6
1754729700000000000,99936.6
1754731500000000000,99936.6
1754733300000000000,99882.78
1754735100000000000,99882.78
1754736900000000000,99882.78
1754738700000000000,99882.78
1754740500000000000,99882.78
1754742300000000000,99882.78
1754744100000000000,99882.78
1754745900000000000,99882.78
1754747700000000000,99882.78
1754749500000000000,99882.78
1754751300000000000,99882.78
1754753100000000000,99882.78
1754754900000000000,99882.78
1754756700000000000,99882.78
1754758500000000000,99882.78
1754760300000000000,99882.78
1754762100000000000,99788.95
1754763900000000000,99788.95
1754765700000000000,99788.95
1754767500000000000,99788.95
1754769300000000000,99788.95
1754771100000000000,99788.95
1754772900000000000,99788.95
1754774700000000000,99788.95
1754776500000000000,99788.95
1754778300000000000,99788.95
1754780100000000000,99788.95
1754781900000000000,99788.95
1754783700000000000,99788.95
1754785500000000000,99788.95
1754787300000000000,99788.95
1754789100000000000,99788.95
1754790900000000000,99726.22
1754792700000000000,99726.22
1754794500000000000,99726.22
1754796300000000000,99726.22
1754798100000000000,99726.22
1754799900000000000,99726.22
1754801700000000000,99726.22
1754803500000000000,99726.22
1754805300000000000,99726.22
1754807100000000000,99726.22
1754808900000000000,99726.22
1754810700000000000,99726.22
1754812500000000000,99726.22
1754814300000000000,99726.22
1754816100000000000,99726.22
1754817900000000000,99726.22
1754819700000000000,99882.69
1754821500000000000,99882.69
1754823300000000000,99882.69
1754825100000000000,99882.69
1754826900000000000,99882.69
1754828700000000000,99882.69
1754830500000000000,99882.69
1754832300000000000,99882.69
1754834100000000000,99882.69
1754835900000000000,99882.69
1754837700000000000,99882.69
1754839500000000000,99882.69
1754841300000000000,99882.69
1754843100000000000,99882.69
1754844900000000000,99882.69
1754846700000000000,99882.69
1754848500000000000,99906.58
1754850300000000000,99904.58
1754852100000000000,99904.58
1754853900000000000,99904.58
1754855700000000000,99904.58
1754857500000000000,99904.58
1754859300000000000,99904.58
1754861100000000000,99904.58
1754862900000000000,99904.58
1754864700000000000,99904.58
1754866500000000000,99904.58
1754868300000000000,99904.58
1754870100000000000,99904.58
1754871900000000000,99904.58
1754873700000000000,99904.58
1754875500000000000,99904.58
1754877300000000000,100015.77
1754879100000000000,100015.77
1754880900000000000,100015.77
1754882700000000000,100015.77
1754884500000000000,100015.77
1754886300000000000,100015.77
1754888100000000000,100015.77
1754889900000000000,100015.77
1754891700000000000,100015.77
1754893500000000000,100015.77
1754895300000000000,100015.77
1754897100000000000,100015.77
1754898900000000000,100015.77
1754900700000000000,100015.77
1754902500000000000,100015.77
1754904300000000000,100015.77
1754906100000000000,100112.15000000001
1754907900000000000,100112.15000000001
1754909700000000000,100112.15000000001
1754911500000000000,100112.15000000001
1754913300000000000,100112.15000000001
1754915100000000000,100112.15000000001
1754916900000000000,100112.15000000001
