bucket_low,bucket_high,count
-74.58840524292059,-72.10212506815657,0
-72.10212506815657,-69.61584489339255,0
-69.61584489339255,-67.12956471862853,0
-67.12956471862853,-64.64328454386451,0
-64.64328454386451,-62.15700436910049,0
-62.15700436910049,-59.67072419433647,0
-59.67072419433647,-57.18444401957245,0
-57.18444401957245,-54.698163844808434,0
-54.698163844808434,-52.211883670044415,0
-52.211883670044415,-49.725603495280396,0
-49.725603495280396,-47.23932332051638,0
-47.23932332051638,-44.75304314575235,0
-44.75304314575235,-42.26676297098833,0
-42.26676297098833,-39.78048279622431,0
-39.78048279622431,-37.29420262146029,0
-37.29420262146029,-34.807922446696274,0
-34.807922446696274,-32.321642271932255,0
-32.321642271932255,-29.835362097168236,1
-29.835362097168236,-27.349081922404217,0
-27.349081922404217,-24.862801747640198,2
-24.862801747640198,-22.37652157287618,1
-22.37652157287618,-19.89024139811216,4
-19.89024139811216,-17.40396122334814,17
-17.40396122334814,-14.917681048584114,21
-14.917681048584114,-12.431400873820095,45
-12.431400873820095,-9.945120699056076,96
-9.945120699056076,-7.458840524292057,206
-7.458840524292057,-4.972560349528038,531
-4.972560349528038,-2.486280174764019,1386
-2.486280174764019,0.0,2906
0.0,2.486280174764019,2765
2.486280174764019,4.972560349528038,1189
4.972560349528038,7.458840524292057,539
7.458840524292057,9.945120699056076,236
9.945120699056076,12.431400873820095,138
12.431400873820095,14.917681048584114,68
14.917681048584114,17.403961223348134,38
17.403961223348134,19.890241398112153,23
19.890241398112153,22.37652157287617,20
22.37652157287617,24.86280174764019,6
24.86280174764019,27.34908192240421,7
27.34908192240421,29.83536209716823,2
29.83536209716823,32.32164227193225,0
32.32164227193225,34.80792244669627,1
34.80792244669627,37.294202621460286,0
37.294202621460286,39.780482796224305,1
39.780482796224305,42.266762970988324,0
42.266762970988324,44.75304314575236,0
44.75304314575236,47.23932332051638,0
47.23932332051638,49.725603495280396,0
49.725603495280396,52.211883670044415,0
52.211883670044415,54.698163844808434,0
54.698163844808434,57.18444401957244,0
57.18444401957244,59.67072419433647,0
59.67072419433647,62.15700436910048,0
62.15700436910048,64.64328454386451,0
64.64328454386451,67.12956471862852,0
67.12956471862852,69.61584489339255,0
69.61584489339255,72.10212506815655,0
72.10212506815655,74.58840524292059,1
