bucket_low,bucket_high,count
-2.560386473429954,-2.475040257648956,0
-2.475040257648956,-2.389694041867957,0
-2.389694041867957,-2.3043478260869588,0
-2.3043478260869588,-2.2190016103059604,1
-2.2190016103059604,-2.1336553945249617,1
-2.1336553945249617,-2.0483091787439633,1
-2.0483091787439633,-1.9629629629629648,3
-1.9629629629629648,-1.8776167471819663,1
-1.8776167471819663,-1.792270531400968,2
-1.792270531400968,-1.7069243156199694,0
-1.7069243156199694,-1.6215780998389708,4
-1.6215780998389708,-1.5362318840579725,1
-1.5362318840579725,-1.450885668276974,2
-1.450885668276974,-1.3655394524959754,8
-1.3655394524959754,-1.280193236714977,6
-1.280193236714977,-1.1948470209339785,13
-1.1948470209339785,-1.10950080515298,20
-1.10950080515298,-1.0241545893719817,28
-1.0241545893719817,-0.9388083735909831,30
-0.9388083735909831,-0.8534621578099846,51
-0.8534621578099846,-0.7681159420289863,104
-0.7681159420289863,-0.6827697262479877,122
-0.6827697262479877,-0.5974235104669892,190
-0.5974235104669892,-0.5120772946859908,292
-0.5120772946859908,-0.42673107890499207,539
-0.42673107890499207,-0.34138486312399374,907
-0.34138486312399374,-0.2560386473429954,1674
-0.2560386473429954,-0.17069243156199665,3284
-0.17069243156199665,-0.08534621578099832,7121
-0.08534621578099832,0.0,15381
0.0,0.08534621578099877,16314
0.08534621578099877,0.1706924315619971,6902
0.1706924315619971,0.2560386473429954,3216
0.2560386473429954,0.3413848631239942,1564
0.3413848631239942,0.4267310789049925,951
0.4267310789049925,0.5120772946859908,517
0.5120772946859908,0.5974235104669896,312
0.5974235104669896,0.6827697262479879,218
0.6827697262479879,0.7681159420289863,157
0.7681159420289863,0.853462157809985,96
0.853462157809985,0.9388083735909833,75
0.9388083735909833,1.0241545893719817,50
1.0241545893719817,1.1095008051529804,27
1.1095008051529804,1.1948470209339788,25
1.1948470209339788,1.280193236714977,20
1.280193236714977,1.3655394524959759,12
1.3655394524959759,1.4508856682769746,8
1.4508856682769746,1.5362318840579725,10
1.5362318840579725,1.6215780998389713,0
1.6215780998389713,1.70692431561997,5
1.70692431561997,1.792270531400968,1
1.792270531400968,1.8776167471819667,4
1.8776167471819667,1.9629629629629655,1
1.9629629629629655,2.0483091787439633,2
2.0483091787439633,2.133655394524962,3
2.133655394524962,2.219001610305961,0
2.219001610305961,2.3043478260869588,0
2.3043478260869588,2.3896940418679575,0
2.3896940418679575,2.4750402576489563,0
2.4750402576489563,2.560386473429954,1
