screen,C_pct,V_pct,SL_pct,n_entries,win_rate,note,breakeven_win_rate,needs_vs_50pct_pp,ema_fast,ema_slow,enter_pct,exit_pct,flips,flips_per_year,avg_trend_bars,p_flip_within_5,p_flip_within_20,churn_cost_floor_pct_of_100k
A_entry_winrate,0.5,0.5,1.0,16769.0,0.6348,10645/16769,,,,,,,,,,,,
A_entry_winrate,0.5,0.5,2.0,16769.0,0.7477,12538/16769,,,,,,,,,,,,
A_entry_winrate,0.5,1.0,1.0,16769.0,0.5088,8532/16769,,,,,,,,,,,,
A_entry_winrate,0.5,1.0,2.0,16769.0,0.6461,10834/16769,,,,,,,,,,,,
A_entry_winrate,0.5,1.5,1.0,16769.0,0.4321,7246/16769,,,,,,,,,,,,
A_entry_winrate,0.5,1.5,2.0,16769.0,0.5756,9652/16769,,,,,,,,,,,,
A_entry_winrate,0.5,2.0,1.0,16769.0,0.3845,6448/16769,,,,,,,,,,,,
A_entry_winrate,0.5,2.0,2.0,16769.0,0.5227,8765/16769,,,,,,,,,,,,
A_entry_winrate,1.0,0.5,1.0,16459.0,0.6352,10455/16459,,,,,,,,,,,,
A_entry_winrate,1.0,0.5,2.0,16459.0,0.7476,12305/16459,,,,,,,,,,,,
A_entry_winrate,1.0,1.0,1.0,16459.0,0.5055,8320/16459,,,,,,,,,,,,
A_entry_winrate,1.0,1.0,2.0,16459.0,0.6432,10587/16459,,,,,,,,,,,,
A_entry_winrate,1.0,1.5,1.0,16459.0,0.4308,7091/16459,,,,,,,,,,,,
A_entry_winrate,1.0,1.5,2.0,16459.0,0.5765,9488/16459,,,,,,,,,,,,
A_entry_winrate,1.0,2.0,1.0,16459.0,0.3816,6280/16459,,,,,,,,,,,,
A_entry_winrate,1.0,2.0,2.0,16459.0,0.5224,8598/16459,,,,,,,,,,,,
A_entry_winrate,2.0,0.5,1.0,15694.0,0.6393,10033/15694,,,,,,,,,,,,
A_entry_winrate,2.0,0.5,2.0,15694.0,0.7516,11796/15694,,,,,,,,,,,,
A_entry_winrate,2.0,1.0,1.0,15694.0,0.5107,8015/15694,,,,,,,,,,,,
A_entry_winrate,2.0,1.0,2.0,15694.0,0.6476,10164/15694,,,,,,,,,,,,
A_entry_winrate,2.0,1.5,1.0,15694.0,0.4342,6814/15694,,,,,,,,,,,,
A_entry_winrate,2.0,1.5,2.0,15694.0,0.5784,9077/15694,,,,,,,,,,,,
A_entry_winrate,2.0,2.0,1.0,15694.0,0.3838,6024/15694,,,,,,,,,,,,
A_entry_winrate,2.0,2.0,2.0,15694.0,0.5236,8218/15694,,,,,,,,,,,,
A_entry_winrate,3.0,0.5,1.0,14892.0,0.6405,9538/14892,,,,,,,,,,,,
A_entry_winrate,3.0,0.5,2.0,14892.0,0.7502,11172/14892,,,,,,,,,,,,
A_entry_winrate,3.0,1.0,1.0,14892.0,0.515,7670/14892,,,,,,,,,,,,
A_entry_winrate,3.0,1.0,2.0,14892.0,0.6474,9641/14892,,,,,,,,,,,,
A_entry_winrate,3.0,1.5,1.0,14892.0,0.4365,6500/14892,,,,,,,,,,,,
A_entry_winrate,3.0,1.5,2.0,14892.0,0.5757,8574/14892,,,,,,,,,,,,
A_entry_winrate,3.0,2.0,1.0,14892.0,0.3881,5779/14892,,,,,,,,,,,,
A_entry_winrate,3.0,2.0,2.0,14892.0,0.5208,7756/14892,,,,,,,,,,,,
B_fee_breakeven,,0.5,1.0,,,,0.7467,24.67,,,,,,,,,,
B_fee_breakeven,,0.5,2.0,,,,0.848,34.8,,,,,,,,,,
B_fee_breakeven,,1.0,1.0,,,,0.56,6.0,,,,,,,,,,
B_fee_breakeven,,1.0,2.0,,,,0.7067,20.67,,,,,,,,,,
B_fee_breakeven,,1.5,1.0,,,,0.448,-5.2,,,,,,,,,,
B_fee_breakeven,,1.5,2.0,,,,0.6057,10.57,,,,,,,,,,
B_fee_breakeven,,2.0,1.0,,,,0.3733,-12.67,,,,,,,,,,
B_fee_breakeven,,2.0,2.0,,,,0.53,3.0,,,,,,,,,,
C_regime_churn,,,,,,,,,50.0,100.0,1.0,0.5,242.0,60.46,103.11,0.0,0.0083,0.0
