coin,n,first_half_n,second_half_n,sigma,median_v,q5_thresh_vol_adj,oos_start,oos_end,oos_start_date,oos_end_date
BTC,1265,632,633,2.5662443539018898,1425.7942349999998,2.1357705516082515,1731974400000,1786579200000,2024-11-19,2026-08-13
ETH,1265,632,633,2.9352016733624566,29619.690000000002,2.607347007402544,1731974400000,1786579200000,2024-11-19,2026-08-13
HYPE,617,308,309,6.092461303938344,11467674.99,5.3039283452958745,1759968000000,1786579200000,2025-10-09,2026-08-13
SOL,1259,629,630,4.537829664063663,397453.55,4.444455565880929,1732233600000,1786579200000,2024-11-22,2026-08-13
PUMP,400,200,200,8.419247628236375,22919362366.5,13.055339678652004,1769385600000,1786579200000,2026-01-26,2026-08-13
ZEC,316,158,158,9.164709590774578,290254.6,12.940877399557888,1773014400000,1786579200000,2026-03-09,2026-08-13
XRP,1154,577,577,5.014207609055481,2755168.0,2.8244476558550504,1736812800000,1786579200000,2025-01-14,2026-08-13
LIT,235,117,118,6.764942752301465,10338103.0,11.262286796923641,1776470400000,1786579200000,2026-04-18,2026-08-13
DOGE,1229,614,615,4.510140907344812,36628896.0,5.080891908944994,1733529600000,1786579200000,2024-12-07,2026-08-13
CRV,1187,593,594,5.2758973273828715,3628364.9,6.043401533429881,1735344000000,1786579200000,2024-12-28,2026-08-13
AAVE,1124,562,562,4.805450959258552,20147.17,4.709226226922773,1738108800000,1786579200000,2025-01-29,2026-08-13
XMR,211,105,106,4.7784545437023915,13564.409,5.61429060558432,1777507200000,1786579200000,2026-04-30,2026-08-13
