coin,tf,signal,group,n,mean_next,stdev_next,p50_next,p90_next,p99_next,p99.9_next,mw_p,p99_ci_lo,p99_ci_hi
AAVE,1d,base,base,1319,0.14739113764646794,4.6838978473753645,-0.08776412558045843,5.633633438044627,14.166626991614985,21.14718428552673,,,
AAVE,1d,prev_ret_gt_2s,yes,40,0.3693021364948543,6.573980140944493,0.7956458424641877,6.932614280092955,16.44635986682367,20.82384390747442,0.46803469622303917,6.9599997401459595,21.3102310231023
AAVE,1d,prev_ret_gt_2s,no,1279,0.14045099694753482,4.615748894097681,-0.10630819087463772,5.58096896474719,13.914130769615372,20.722114712274397,,,
AAVE,1d,prev_ret_lt_m2s,yes,23,0.9940465529369835,8.136204660024132,0.665646009452181,12.273594497696974,14.173742399115538,14.263145384190166,0.38004985708969385,9.297286800172243,14.273079049198456
AAVE,1d,prev_ret_lt_m2s,no,1296,0.13236561715905906,4.60336767659012,-0.10333184791516681,5.466451415395179,13.724453523642731,21.158976974093473,,,
AAVE,1d,prev_ret_gt_3s,yes,14,-1.5202834624645134,6.97695275654829,-1.0714806013265687,5.370721044427616,6.7369218904089925,6.908212312879911,0.6167370894752233,3.4874313782143895,6.927244582043346
AAVE,1d,prev_ret_gt_3s,no,1305,0.16528189963999568,4.65392035662515,-0.07857928650008006,5.6477831071513585,14.225542776748279,21.15436244378472,,,
AAVE,1d,prev_ret_lt_m3s,yes,7,2.8395040109618193,10.707006142859367,3.949587290316847,13.424706159009677,14.188241760179578,14.264595320296568,0.11616995181291322,,
AAVE,1d,prev_ret_lt_m3s,no,1312,0.1330277305479866,4.635997023931352,-0.10333184791516681,5.567695275251691,13.807869841052698,21.150773364655784,,,
AAVE,1d,range_top10,yes,132,0.8512391814918301,6.602209854417698,0.8100754530385057,8.375617571211329,19.140951871365882,21.2430639708306,0.09867385067919009,12.579799055151227,21.3102310231023
AAVE,1d,range_top10,no,1187,0.06911991457352115,4.4164171275055795,-0.1394035849955344,5.223855589998828,13.109758847424672,20.47969924812032,,,
AAVE,1d,range_top1,yes,14,4.3235749614435735,9.473919810857412,5.8267861499353035,13.848892604104067,19.949330003316327,20.712687890249427,0.004998469681767696,8.458689875933656,20.79750543324199
