bar,side,action,price,notional,fee
453,1,OPEN,23194.41,5000.0,1.0
467,1,OPEN,21177.51,5000.0,1.0
471,1,CLOSE,20874.97,5000.0,1.0
472,1,CLOSE,20722.76,5000.0,1.0
916,1,OPEN,20975.08,5000.0,1.0
920,1,CLOSE,20384.88,5000.0,1.0
1257,1,OPEN,18754.99,5000.0,1.0
1269,1,CLOSE,19692.74,5000.0,1.0
1270,1,OPEN,19545.05,5000.0,1.0
1273,1,CLOSE,19496.53,5000.0,1.0
2236,1,OPEN,19762.2,5000.0,1.0
2237,1,CLOSE,19704.38,5000.0,1.0
3158,1,OPEN,16916.91,5000.0,1.0
3161,1,CLOSE,16796.29,5000.0,1.0
3297,1,OPEN,16916.91,5000.0,1.0
3443,1,CLOSE,16678.98,5000.0,1.0
4982,1,OPEN,23230.0,5000.0,1.0
4995,1,CLOSE,22319.69,5000.0,1.0
5582,1,OPEN,26558.61,5000.0,1.0
5589,1,CLOSE,27099.99,5000.0,1.0
6768,1,OPEN,26896.74,5000.0,1.0
6807,1,CLOSE,26905.1,5000.0,1.0
6832,1,OPEN,26703.31,5000.0,1.0
6856,1,CLOSE,26919.17,5000.0,1.0
6908,1,OPEN,26717.28,5000.0,1.0
6952,1,CLOSE,27203.71,5000.0,1.0
6967,1,OPEN,26999.68,5000.0,1.0
6977,1,CLOSE,26220.55,5000.0,1.0
8432,1,OPEN,29259.86,5000.0,1.0
8436,1,CLOSE,29180.0,5000.0,1.0
9282,1,OPEN,26838.24,5000.0,1.0
9304,1,CLOSE,27892.07,5000.0,1.0
9363,1,OPEN,27682.88,5000.0,1.0
9370,1,CLOSE,26047.49,5000.0,1.0
9537,1,OPEN,25891.42,5000.0,1.0
9615,1,CLOSE,25185.01,5000.0,1.0
11153,1,OPEN,34934.46,5000.0,1.0
11156,1,CLOSE,35575.99,5000.0,1.0
22567,1,OPEN,83559.0,5000.0,1.0
22570,1,CLOSE,83937.94,5000.0,1.0
22877,1,OPEN,83308.41,5000.0,1.0
22913,1,CLOSE,81889.38,5000.0,1.0
28950,1,OPEN,87431.41,5000.0,1.0
28989,1,CLOSE,90386.57,5000.0,1.0
29092,1,OPEN,89708.67,5000.0,1.0
29095,1,CLOSE,86869.51,5000.0,1.0
