timestamp,gpu_busy_pct,cpu_pct,disk_write_kbps,memory_mb
2026-06-15T21:23:40-05:00,0,0,0,0
2026-06-15T21:23:41-05:00,0,0,0,0
2026-06-15T21:23:42-05:00,0,0,0,0
2026-06-15T21:23:43-05:00,0,0,0,0
2026-06-15T21:23:44-05:00,3,0,0,0
2026-06-15T21:23:45-05:00,3,0,0,0
2026-06-15T21:23:46-05:00,4,0,0,0
2026-06-15T21:23:47-05:00,4,0,0,0
2026-06-15T21:23:48-05:00,5,0,0,0
2026-06-15T21:23:49-05:00,5,0,0,0
2026-06-15T21:23:50-05:00,5,0,0,0
2026-06-15T21:23:51-05:00,5,0,0,0
2026-06-15T21:23:52-05:00,5,0,0,0
2026-06-15T21:23:53-05:00,4,0,0,0
2026-06-15T21:23:54-05:00,5,0,0,0
2026-06-15T21:23:55-05:00,4,0,0,0
2026-06-15T21:23:56-05:00,4,0,0,0
2026-06-15T21:23:57-05:00,5,0,0,0
2026-06-15T21:23:58-05:00,8,0,0,0
2026-06-15T21:23:59-05:00,10,0,0,0
2026-06-15T21:24:00-05:00,9,0,0,0
2026-06-15T21:24:01-05:00,10,0,0,0
2026-06-15T21:24:02-05:00,10,0,0,0
2026-06-15T21:24:03-05:00,10,0,0,0
2026-06-15T21:24:04-05:00,11,0,0,0
2026-06-15T21:24:05-05:00,11,0,0,0
2026-06-15T21:24:06-05:00,10,0,0,0
2026-06-15T21:24:07-05:00,10,0,0,0
2026-06-15T21:24:08-05:00,10,0,0,0
2026-06-15T21:24:09-05:00,11,0,0,0
2026-06-15T21:24:10-05:00,11,0,0,0
2026-06-15T21:24:11-05:00,9,0,0,0
2026-06-15T21:24:12-05:00,10,0,0,0
2026-06-15T21:24:13-05:00,10,0,0,0
2026-06-15T21:24:14-05:00,11,0,0,0
2026-06-15T21:24:15-05:00,10,0,0,0
2026-06-15T21:24:16-05:00,10,0,0,0
2026-06-15T21:24:17-05:00,10,0,0,0
2026-06-15T21:24:18-05:00,9,0,0,0
2026-06-15T21:24:19-05:00,10,0,0,0
2026-06-15T21:24:20-05:00,10,0,0,0
2026-06-15T21:24:21-05:00,9,0,0,0
2026-06-15T21:24:22-05:00,10,0,0,0
2026-06-15T21:24:23-05:00,9,0,0,0
2026-06-15T21:24:24-05:00,10,0,0,0
2026-06-15T21:24:25-05:00,14,0,0,0
2026-06-15T21:24:26-05:00,12,0,0,0
2026-06-15T21:24:27-05:00,10,0,0,0
2026-06-15T21:24:28-05:00,10,0,0,0
2026-06-15T21:24:29-05:00,12,0,0,0
2026-06-15T21:24:30-05:00,11,0,0,0
2026-06-15T21:24:31-05:00,11,0,0,0
2026-06-15T21:24:32-05:00,10,0,0,0
2026-06-15T21:24:33-05:00,10,0,0,0
2026-06-15T21:24:34-05:00,6,0,0,0
2026-06-15T21:24:35-05:00,6,0,0,0
2026-06-15T21:24:36-05:00,5,0,0,0
2026-06-15T21:24:37-05:00,5,0,0,0
2026-06-15T21:24:38-05:00,5,0,0,0
2026-06-15T21:24:39-05:00,4,0,0,0
