coin,tf,quarter,qidx,n,sigma_ret,median_range,kurtosis,p99,p99_9,min,max,ev3_count,ev3_rate
PUMP,1h,2026Q1,13,1764,1.2115,1.5856,6.131,3.43,6.447,-5.359,7.288,27,15.31
PUMP,1h,2026Q2,14,2184,1.0913,1.2489,7.687,3.225,4.804,-7.868,7.041,31,14.19
PUMP,1h,2026Q3,15,1054,1.2957,1.6982,6.314,3.863,5.988,-4.094,8.724,22,20.87
SOL,1h,2026Q1,13,1764,0.8189,0.9599,8.95,2.318,3.792,-4.906,5.392,58,32.88
SOL,1h,2026Q2,14,2184,0.6515,0.7155,10.679,1.962,3.032,-5.995,3.502,37,16.94
SOL,1h,2026Q3,15,1054,0.447,0.5691,8.126,1.26,2.156,-2.058,3.2,3,2.85
XMR,1h,2026Q1,13,1763,1.044,1.2606,7.489,2.666,5.389,-6.865,6.588,36,20.42
XMR,1h,2026Q2,14,2184,0.9513,1.0751,11.533,2.578,4.954,-8.645,6.609,39,17.86
XMR,1h,2026Q3,15,1054,0.5614,0.7331,14.316,1.365,2.107,-2.727,5.827,1,0.95
XRP,1h,2026Q1,13,1763,0.7771,0.8558,9.99,2.356,4.547,-4.475,5.361,61,34.6
XRP,1h,2026Q2,14,2184,0.5584,0.6016,11.941,1.831,2.782,-5.679,2.984,34,15.57
XRP,1h,2026Q3,15,1054,0.3969,0.5068,5.751,0.99,1.802,-1.842,1.879,1,0.95
ZEC,1h,2026Q1,13,1763,1.1998,1.4832,6.397,3.698,5.664,-6.279,6.298,25,14.18
ZEC,1h,2026Q2,14,2184,1.5058,1.6046,16.946,4.138,11.003,-14.86,11.591,54,24.73
ZEC,1h,2026Q3,15,1054,0.8043,1.0639,7.355,2.286,4.6,-3.369,5.217,3,2.85
AAVE,1w,2023Q3,3,11,9.6594,11.4852,4.913,20.933,22.053,-10.452,22.177,0,0.0
AAVE,1w,2023Q4,4,13,12.1381,18.6902,8.756,35.622,38.501,-8.597,38.821,1,76.92
AAVE,1w,2024Q1,5,13,10.785,18.7633,2.654,21.237,22.13,-15.772,22.23,0,0.0
AAVE,1w,2024Q2,6,13,13.0548,21.8077,5.511,11.717,11.948,-34.796,11.973,1,76.92
AAVE,1w,2024Q3,7,13,13.8364,27.1107,2.604,30.651,31.999,-15.764,32.148,0,0.0
AAVE,1w,2024Q4,8,13,13.1542,21.7417,3.117,32.8,34.118,-13.492,34.265,0,0.0
AAVE,1w,2025Q1,9,13,10.9579,27.7679,1.529,9.033,9.041,-20.919,9.042,0,0.0
AAVE,1w,2025Q2,10,13,13.1771,21.2368,3.588,32.54,33.416,-14.798,33.514,0,0.0
AAVE,1w,2025Q3,11,13,10.3616,17.2452,4.711,24.144,25.962,-10.171,26.164,0,0.0
AAVE,1w,2025Q4,12,13,8.6296,23.0623,1.401,6.483,6.485,-17.279,6.485,0,0.0
AAVE,1w,2026Q1,13,13,10.8967,17.5606,2.779,14.97,15.045,-22.706,15.054,0,0.0
AAVE,1w,2026Q2,14,13,10.8613,16.3663,2.83,19.898,20.545,-17.654,20.617,0,0.0
AAVE,1w,2026Q3,15,7,5.07,13.0761,2.579,8.277,8.398,-6.513,8.411,0,0.0
BTC,1w,2023Q1,1,5,8.6345,10.3466,1.801,12.135,12.142,-8.161,12.143,0,0.0
BTC,1w,2023Q2,2,13,6.5272,8.3071,8.597,17.861,19.309,-4.918,19.47,1,76.92
BTC,1w,2023Q3,3,13,3.7524,5.9759,2.821,5.139,5.341,-7.94,5.363,0,0.0
BTC,1w,2023Q4,4,13,7.3569,9.2627,5.505,21.126,21.799,-3.197,21.874,1,76.92
BTC,1w,2024Q1,5,13,9.0975,15.3346,2.365,20.102,20.501,-8.278,20.546,1,76.92
BTC,1w,2024Q2,6,13,6.7965,11.5883,2.078,8.104,8.237,-13.286,8.251,0,0.0
BTC,1w,2024Q3,7,13,6.594,10.9436,4.235,10.599,10.923,-14.795,10.959,0,0.0
BTC,1w,2024Q4,8,13,6.4382,9.6569,5.119,18.607,19.47,-4.828,19.566,1,76.92
BTC,1w,2025Q1,9,13,5.7732,11.0655,2.955,7.247,7.446,-12.812,7.468,0,0.0
BTC,1w,2025Q2,10,13,4.1736,9.3084,3.696,10.932,11.455,-3.522,11.513,0,0.0
BTC,1w,2025Q3,11,13,4.1364,6.3623,3.014,7.306,7.376,-7.443,7.383,0,0.0
BTC,1w,2025Q4,12,13,4.6939,9.8927,2.282,3.967,4.05,-10.257,4.059,0,0.0
BTC,1w,2026Q1,13,13,6.8428,10.0256,4.479,6.801,6.891,-18.066,6.901,0,0.0
BTC,1w,2026Q2,14,13,5.881,8.39,3.477,7.225,7.466,-13.843,7.493,0,0.0
BTC,1w,2026Q3,15,7,2.7098,5.7286,1.819,3.932,3.941,-3.214,3.942,0,0.0
CRV,1w,2023Q2,2,7,15.5692,16.5041,2.957,20.798,20.947,-24.619,20.964,0,0.0
CRV,1w,2023Q3,3,13,9.6824,15.9362,3.516,15.655,16.841,-20.329,16.973,0,0.0
CRV,1w,2023Q4,4,13,9.8686,19.4849,1.496,15.468,15.775,-13.892,15.809,0,0.0
CRV,1w,2024Q1,5,13,14.1068,19.9309,4.482,30.556,33.159,-22.245,33.448,0,0.0
CRV,1w,2024Q2,6,13,11.6466,19.1026,4.07,10.006,10.609,-31.249,10.676,0,0.0
CRV,1w,2024Q3,7,13,13.8599,18.854,8.021,35.314,38.689,-16.111,39.065,0,0.0
CRV,1w,2024Q4,8,13,33.1624,27.3172,11.161,105.685,114.211,-15.912,115.158,1,76.92
CRV,1w,2025Q1,9,13,13.4084,32.8658,2.32,17.144,17.382,-26.817,17.408,0,0.0
CRV,1w,2025Q2,10,13,10.4316,21.3009,2.847,19.541,20.743,-16.585,20.877,0,0.0
CRV,1w,2025Q3,11,13,20.5411,20.685,10.913,59.959,65.682,-15.273,66.317,1,76.92
CRV,1w,2025Q4,12,13,9.3533,19.5367,3.723,6.05,6.377,-25.595,6.413,0,0.0
CRV,1w,2026Q1,13,13,10.4022,17.7143,3.244,15.87,17.172,-22.098,17.317,0,0.0
CRV,1w,2026Q2,14,13,7.3958,15.1612,2.363,8.308,8.36,-14.086,8.366,0,0.0
CRV,1w,2026Q3,15,7,12.4,8.8277,7.723,28.955,30.174,-4.885,30.31,0,0.0
DOGE,1w,2023Q2,2,13,6.9145,15.0704,1.515,8.538,8.709,-10.575,8.728,0,0.0
DOGE,1w,2023Q3,3,13,5.8816,8.0315,3.248,10.805,11.184,-10.829,11.226,0,0.0
DOGE,1w,2023Q4,4,13,8.4615,16.6953,3.308,17.714,17.826,-12.65,17.839,0,0.0
DOGE,1w,2024Q1,5,13,15.7466,20.9554,3.177,37.112,37.228,-10.064,37.241,0,0.0
DOGE,1w,2024Q2,6,13,11.6242,19.3597,2.85,13.589,14.053,-26.152,14.105,0,0.0
DOGE,1w,2024Q3,7,13,8.713,18.6789,4.867,12.071,12.673,-21.691,12.739,0,0.0
DOGE,1w,2024Q4,8,13,29.3731,25.969,12.201,93.283,102.258,-13.575,103.256,1,76.92
DOGE,1w,2025Q1,9,13,11.366,25.2454,1.645,12.297,12.641,-20.978,12.68,0,0.0
