ts_ns,equity
1754646900000000000,99999.47
1754648700000000000,99999.47
1754650500000000000,100001.45
1754652300000000000,100031.23999999999
1754654100000000000,100029.14
1754655900000000000,100029.14
1754657700000000000,100029.14
1754659500000000000,100029.14
1754661300000000000,100029.14
1754663100000000000,100024.26999999999
1754664900000000000,100024.26999999999
1754666700000000000,100178.25
1754668500000000000,100237.43000000001
1754670300000000000,100237.43000000001
1754672100000000000,100237.43000000001
1754673900000000000,100237.43000000001
1754675700000000000,100237.43000000001
1754677500000000000,100259.45
1754679300000000000,100257.5
1754681100000000000,100257.5
1754682900000000000,100257.5
1754684700000000000,100257.5
1754686500000000000,100257.5
1754688300000000000,100257.5
1754690100000000000,100311.39
1754691900000000000,100311.39
1754693700000000000,100311.39
1754695500000000000,100311.39
1754697300000000000,100311.39
1754699100000000000,100311.39
1754700900000000000,100311.39
1754702700000000000,100311.39
1754704500000000000,100310.90999999999
1754706300000000000,100310.01999999999
1754708100000000000,100309.62
1754709900000000000,100309.62
1754711700000000000,100309.26000000001
1754713500000000000,100309.26000000001
1754715300000000000,100309.26000000001
1754717100000000000,100638.68000000001
1754718900000000000,100638.68000000001
1754720700000000000,100638.68000000001
1754722500000000000,100638.68000000001
1754724300000000000,100638.68000000001
1754726100000000000,100638.68000000001
1754727900000000000,100638.68000000001
1754729700000000000,100630.67
1754731500000000000,100630.67
1754733300000000000,100629.67
1754735100000000000,100628.61
1754736900000000000,100628.61
1754738700000000000,100628.61
1754740500000000000,100628.61
1754742300000000000,100628.61
1754744100000000000,100631.09000000001
1754745900000000000,100631.09000000001
1754747700000000000,100631.09000000001
1754749500000000000,100667.0
1754751300000000000,100667.0
1754753100000000000,100667.0
1754754900000000000,100667.0
1754756700000000000,100667.0
1754758500000000000,100667.0
1754760300000000000,100667.0
1754762100000000000,100677.59
1754763900000000000,100677.59
1754765700000000000,100677.59
1754767500000000000,100689.36
1754769300000000000,100689.36
1754771100000000000,100689.36
1754772900000000000,100685.78
1754774700000000000,100739.14
1754776500000000000,100739.14
1754778300000000000,100739.14
1754780100000000000,100739.14
1754781900000000000,100739.14
1754783700000000000,100739.14
1754785500000000000,100739.14
1754787300000000000,100739.14
1754789100000000000,100739.14
1754790900000000000,100739.14
1754792700000000000,100738.13
1754794500000000000,100736.14
1754796300000000000,100736.14
1754798100000000000,100736.14
1754799900000000000,100736.14
1754801700000000000,100736.14
1754803500000000000,100736.14
1754805300000000000,100736.14
1754807100000000000,100736.14
1754808900000000000,100736.14
1754810700000000000,100736.14
1754812500000000000,100736.14
1754814300000000000,100736.14
1754816100000000000,100736.14
1754817900000000000,100736.14
1754819700000000000,100734.71
1754821500000000000,100734.71
1754823300000000000,100734.71
1754825100000000000,100699.26000000001
1754826900000000000,100699.26000000001
1754828700000000000,100696.54000000001
1754830500000000000,100696.54000000001
1754832300000000000,100696.54000000001
1754834100000000000,100696.54000000001
1754835900000000000,100695.77
1754837700000000000,100695.77
1754839500000000000,100695.05
1754841300000000000,100695.05
1754843100000000000,100695.05
1754844900000000000,100695.05
1754846700000000000,100695.05
1754848500000000000,100695.05
1754850300000000000,100695.05
1754852100000000000,100695.05
1754853900000000000,100694.14
1754855700000000000,100694.14
1754857500000000000,100602.29000000001
1754859300000000000,100602.29000000001
1754861100000000000,100602.29000000001
1754862900000000000,100602.29000000001
1754864700000000000,100595.09000000001
1754866500000000000,100592.3
1754868300000000000,100590.62000000001
1754870100000000000,100589.73000000001
1754871900000000000,100589.13
1754873700000000000,100589.13
1754875500000000000,100589.13
1754877300000000000,100431.78
1754879100000000000,100431.78
1754880900000000000,100431.78
1754881200000000000,100431.78
1754881500000000000,96915.43000000001
1754881800000000000,96915.43000000001
1754882100000000000,96915.43000000001
1754882400000000000,96915.43000000001
1754882700000000000,96915.43000000001
1754883000000000000,96915.43000000001
1754883300000000000,96915.43000000001
1754883600000000000,96915.43000000001
1754883900000000000,96915.43000000001
1754884200000000000,96915.43000000001
1754884500000000000,96915.43000000001
1754884800000000000,96915.43000000001
1754885100000000000,96915.43000000001
1754885400000000000,96915.43000000001
1754885700000000000,96915.43000000001
1754886000000000000,96915.43000000001
1754886300000000000,96915.43000000001
1754886600000000000,96915.43000000001
1754886900000000000,96915.43000000001
1754887200000000000,96915.43000000001
1754887500000000000,96915.43000000001
1754887800000000000,96915.43000000001
1754888100000000000,96915.43000000001
1754888400000000000,96915.43000000001
1754888700000000000,96915.43000000001
1754889000000000000,96915.43000000001
1754889300000000000,96915.43000000001
1754889600000000000,96915.43000000001
1754889900000000000,96915.43000000001
1754890200000000000,96915.43000000001
1754890500000000000,96915.43000000001
1754890800000000000,96915.43000000001
1754891100000000000,96915.43000000001
1754891400000000000,96915.43000000001
