entry_i,exit_i,entry_dt,exit_dt,side,entry_px,exit_px,pnl_usd,equity,bars
11,12,2024-08-02 20:00:00+00:00,2024-08-03 00:00:00+00:00,S,152.91,148.7109,264.61,10264.61,1
12,13,2024-08-03 00:00:00+00:00,2024-08-03 04:00:00+00:00,L,153.34,153.5336,2.7,10267.31,1
15,16,2024-08-03 12:00:00+00:00,2024-08-03 16:00:00+00:00,S,146.36,139.4624,473.61,10740.91,1
16,17,2024-08-03 16:00:00+00:00,2024-08-03 20:00:00+00:00,L,140.34,143.7601,251.02,10991.93,1
30,31,2024-08-06 00:00:00+00:00,2024-08-06 04:00:00+00:00,S,138.55,137.6425,61.01,11052.94,1
47,48,2024-08-08 20:00:00+00:00,2024-08-09 00:00:00+00:00,L,163.1,163.3308,4.59,11057.52,1
48,49,2024-08-09 00:00:00+00:00,2024-08-09 04:00:00+00:00,S,158.86,155.8133,201.01,11258.53,1
51,52,2024-08-09 12:00:00+00:00,2024-08-09 16:00:00+00:00,L,150.96,154.006,215.91,11474.44,1
57,58,2024-08-10 12:00:00+00:00,2024-08-10 16:00:00+00:00,S,153.85,153.0401,48.93,11523.37,1
62,64,2024-08-11 08:00:00+00:00,2024-08-11 16:00:00+00:00,L,153.79,145.77,-612.44,10910.59,2
64,65,2024-08-11 16:00:00+00:00,2024-08-11 20:00:00+00:00,S,145.77,141.3476,320.1,11230.69,1
66,67,2024-08-12 00:00:00+00:00,2024-08-12 04:00:00+00:00,L,144.07,146.6746,191.8,11422.49,1
70,71,2024-08-12 16:00:00+00:00,2024-08-12 20:00:00+00:00,S,143.76,141.8034,144.04,11566.53,1
72,73,2024-08-13 00:00:00+00:00,2024-08-13 04:00:00+00:00,L,143.55,146.7994,250.25,11816.78,1
80,81,2024-08-14 08:00:00+00:00,2024-08-14 12:00:00+00:00,S,148.04,144.6702,257.16,12073.94,1
84,85,2024-08-15 00:00:00+00:00,2024-08-15 04:00:00+00:00,L,144.74,144.8176,-5.6,12068.34,1
102,103,2024-08-18 00:00:00+00:00,2024-08-18 04:00:00+00:00,S,141.04,140.6246,23.47,12091.81,1
108,109,2024-08-19 00:00:00+00:00,2024-08-19 04:00:00+00:00,L,143.2,143.3661,1.94,12093.75,1
111,112,2024-08-19 12:00:00+00:00,2024-08-19 16:00:00+00:00,S,143.86,142.6636,88.48,12182.23,1
113,114,2024-08-19 20:00:00+00:00,2024-08-20 00:00:00+00:00,L,144.29,147.7865,283.03,12465.26,1
114,115,2024-08-20 00:00:00+00:00,2024-08-20 04:00:00+00:00,S,145.49,145.3739,-2.52,12462.74,1
120,121,2024-08-21 00:00:00+00:00,2024-08-21 04:00:00+00:00,L,142.45,143.6405,91.7,12554.43,1
132,133,2024-08-23 00:00:00+00:00,2024-08-23 04:00:00+00:00,S,144.51,144.4808,-10.02,12544.41,1
137,138,2024-08-23 20:00:00+00:00,2024-08-24 00:00:00+00:00,L,153.29,154.61,95.48,12639.89,1
138,139,2024-08-24 00:00:00+00:00,2024-08-24 04:00:00+00:00,S,153.28,153.2489,-10.08,12629.82,1
