coin,weekday,funding_rate,next_1d_return
AAVE,0,1.716731625e-05,-0.5767013453957615
AAVE,1,1.9143080625e-05,0.9325173831631792
AAVE,2,1.6903135403726707e-05,-0.33216835102168607
AAVE,3,1.824382049689441e-05,0.18962793957738197
AAVE,4,1.7865759999999998e-05,0.05348275275654916
AAVE,5,1.9189191875e-05,-0.24353171344183883
AAVE,6,1.9285135e-05,0.900173167676131
BTC,0,1.565081588235294e-05,-0.06526318211246311
BTC,1,1.616163705882353e-05,0.4017304965025926
BTC,2,1.8573095882352944e-05,-0.34304144976882417
BTC,3,1.8666903529411764e-05,0.10863632734472
BTC,4,1.858441952662722e-05,0.008010325050551208
BTC,5,1.1106060588235294e-05,0.15391963197483777
BTC,6,1.3232501176470589e-05,0.4447015345062329
CRV,0,3.567976331360949e-07,-0.30889424259588144
CRV,1,-9.203828823529412e-06,0.988306696409116
CRV,2,-1.0347899411764707e-05,-0.5491706256779806
CRV,3,-1.2032588235294119e-05,0.2724615920774546
CRV,4,-7.181599408284024e-06,0.17502689199115065
CRV,5,-3.0153881656804734e-06,-0.5614600015602655
CRV,6,2.5984786982248523e-06,0.2564073736616302
ETH,0,3.551740176470588e-05,-0.3366476923095775
ETH,1,3.773491470588235e-05,0.5162464188965904
ETH,2,3.798051176470588e-05,-0.42927618152655883
ETH,3,3.6928775882352937e-05,0.04166048468540462
ETH,4,4.020895147928994e-05,0.14577158327042367
ETH,5,3.681647352941176e-05,0.11858223897917006
ETH,6,3.365130764705882e-05,0.362903088138026
LIT,0,1.2429539393939395e-05,1.8197589851367695
LIT,1,1.2775385294117648e-05,0.08883858730578822
LIT,2,1.0766958823529411e-05,-1.0176423956651623
LIT,3,1.25e-05,0.5799415708682065
LIT,4,1.2571636363636364e-05,-0.2741749701329011
LIT,5,1.172840303030303e-05,-1.0011960643131619
LIT,6,1.2239521212121214e-05,0.08736804366009696
PUMP,0,1.5962491228070174e-05,0.7037467322988874
PUMP,1,2.356189298245614e-05,-0.09608640756860125
PUMP,2,1.8356657894736842e-05,-2.282465181665146
PUMP,3,1.8732373684210528e-05,0.32139680754651423
PUMP,4,2.226696666666667e-05,1.146404960069632
PUMP,5,1.930950701754386e-05,0.840538541725863
PUMP,6,2.5604008771929825e-05,-0.0637609573177758
SOL,0,0.00010350008235294117,-0.19086355337959462
SOL,1,0.00010628733823529411,0.6341374694734763
SOL,2,0.00010314212411764704,-0.09388267835719241
SOL,3,0.00010375039411764706,0.44041795629886443
SOL,4,0.00010918373313609467,0.3210348343123696
SOL,5,0.00010358367764705882,0.25560974375910706
SOL,6,0.00010281628882352941,0.05031856086452019
XRP,0,4.436652121212122e-06,-0.29958547152389176
XRP,1,6.992360000000001e-06,0.24749458804693591
XRP,2,5.7213430303030305e-06,-0.1470560898899708
XRP,3,8.23296606060606e-06,0.09351220983469924
XRP,4,1.0117735975609756e-05,0.5085848243645162
XRP,5,5.436992073170732e-06,0.0009594636137705471
XRP,6,8.95812743902439e-06,0.6806200582727018
ZEC,0,1.168713333333334e-06,0.16462735758432406
ZEC,1,5.307586666666667e-06,1.0117164649895636
ZEC,2,6.122462222222223e-06,-0.504330239244631
ZEC,3,3.770326666666668e-06,1.3673062155558289
ZEC,4,-9.65774888888889e-06,1.2551200333579158
ZEC,5,2.0334611111111112e-05,1.0601199144600186
ZEC,6,8.849231111111114e-06,0.8131032486541723
