bucket,n_crashes,mean_next_5d,median_next_5d
extreme_negative,17,-1.0730406826653691,0.45293118534150967
normal,653,-0.1928478314066561,-0.696307182530248
extreme_positive,30,4.183448249463846,-2.1025837129694303
