coin,autocorr_1d,autocorr_7d,autocorr_30d
BTC,0.5286161210942576,0.2391438992565835,0.08760846917163084
PUMP,0.05791076684689783,0.33945447632843323,5.902186352049652e-16
SOL,0.8017482218695873,0.6796021550656195,0.6580902334596626
ZEC,0.33521623948944257,0.07368345770581104,-0.12465134419243779
AAVE,0.7211564274916361,0.5260625033568663,0.33872737305590056
ETH,0.5624928365577913,0.09622580424938565,0.08840084193410762
LIT,0.002615670824101213,-0.0014887128271796606,-0.0025054399194665332
XRP,0.6034896609343385,0.4588682324003188,0.20363573027072074
CRV,0.6372578307870779,0.57705572267754,0.320387511413678
