trigger_coin,date,trigger_direction,trigger_ret,trigger_z,n_others,n_same_dir,frac_same_dir
ETH,2025-05-10,up,10.1704,3.0505,9,9,1.0
ETH,2025-08-22,up,14.3925,4.328,10,10,1.0
ETH,2025-10-10,down,-12.5172,-3.814,10,9,0.9
ETH,2025-10-12,up,10.8346,3.2515,10,9,0.9
ETH,2026-02-05,down,-14.9914,-4.5627,11,11,1.0
ETH,2026-02-06,up,12.9306,3.8857,11,10,0.9091
ETH,2026-02-25,up,11.1357,3.3426,11,11,1.0
ETH,2026-06-05,down,-10.614,-3.2382,11,10,0.9091
HYPE,2024-12-11,up,18.942,3.3137,9,9,1.0
HYPE,2024-12-14,up,24.1119,4.2376,9,3,0.3333
HYPE,2024-12-20,up,19.4311,3.4011,9,8,0.8889
HYPE,2025-04-09,up,20.9447,3.6716,9,9,1.0
HYPE,2025-05-22,up,18.22,3.1847,9,8,0.8889
HYPE,2026-01-27,up,23.617,4.1491,11,10,0.9091
PUMP,2025-07-12,up,24.9147,3.5,10,5,0.5
PUMP,2025-10-10,down,-27.1922,-3.8481,10,9,0.9
SOL,2023-01-03,up,18.3586,4.0188,6,3,0.5
SOL,2023-01-14,up,32.7738,7.2185,7,7,1.0
SOL,2023-01-20,up,19.1751,4.2,7,7,1.0
SOL,2023-07-13,up,18.6061,4.0737,8,8,1.0
SOL,2023-11-10,up,25.1579,5.528,8,5,0.625
SOL,2023-11-15,up,15.5317,3.3913,8,7,0.875
SOL,2023-12-21,up,14.1985,3.0954,8,7,0.875
SOL,2025-01-18,up,19.4479,4.2606,9,1,0.1111
SOL,2025-02-24,down,-15.4112,-3.4771,9,9,1.0
SOL,2025-03-02,up,24.3767,5.3546,9,9,1.0
SOL,2025-03-03,down,-20.3998,-4.5844,9,9,1.0
SOL,2025-10-10,down,-15.1448,-3.4179,10,9,0.9
SOL,2026-02-05,down,-14.9867,-3.3828,11,11,1.0
XMR,2024-02-06,down,-36.135,-10.2195,8,3,0.375
XMR,2024-02-07,up,22.5336,6.308,8,7,0.875
XMR,2024-12-03,up,16.7288,4.6727,8,4,0.5
XMR,2024-12-08,up,11.2037,3.1162,9,6,0.6667
XMR,2024-12-09,down,-21.0604,-5.9729,9,9,1.0
XMR,2024-12-11,up,11.9339,3.3219,9,9,1.0
XMR,2025-05-21,up,12.3,3.4251,9,8,0.8889
XMR,2025-10-10,down,-14.3262,-4.0758,10,9,0.9
XMR,2025-11-09,up,14.3009,3.9888,10,9,0.9
XMR,2026-01-11,up,18.545,5.1844,11,8,0.7273
XMR,2026-01-12,up,13.1188,3.6557,11,3,0.2727
XMR,2026-01-20,down,-19.4463,-5.5182,11,11,1.0
XMR,2026-01-25,down,-10.7656,-3.0727,11,11,1.0
XMR,2026-02-01,down,-13.0406,-3.7136,11,10,0.9091
XMR,2026-02-05,down,-23.3156,-6.6082,11,11,1.0
XMR,2026-05-29,up,12.2111,3.4,11,8,0.7273
XMR,2026-06-03,up,11.237,3.1256,11,6,0.5455
XMR,2026-06-05,down,-17.2071,-4.8874,11,10,0.9091
XMR,2026-06-11,up,15.515,4.3308,11,11,1.0
XRP,2023-03-21,up,25.7434,5.8179,7,7,1.0
XRP,2023-07-13,up,74.5884,16.9302,8,8,1.0
XRP,2023-08-17,down,-14.0243,-3.2293,8,8,1.0
XRP,2024-03-11,up,19.051,4.2953,8,7,0.875
XRP,2024-08-07,up,18.5401,4.1791,8,3,0.375
XRP,2024-11-15,up,15.3206,3.4467,8,7,0.875
XRP,2024-11-16,up,25.5838,5.7816,8,5,0.625
XRP,2024-11-22,up,18.0632,4.0706,8,7,0.875
XRP,2024-11-29,up,16.7778,3.7782,8,6,0.75
XRP,2024-12-01,up,17.2788,3.8922,8,5,0.625
XRP,2024-12-02,up,18.7413,4.2249,8,4,0.5
XRP,2024-12-09,down,-14.9012,-3.4288,9,9,1.0
XRP,2025-01-15,up,17.807,4.0123,9,9,1.0
XRP,2025-03-02,up,34.1137,7.7221,9,9,1.0
XRP,2025-03-03,down,-18.8587,-4.3292,9,9,1.0
XRP,2025-04-09,up,14.3574,3.2275,9,9,1.0
XRP,2025-07-17,up,14.624,3.2882,10,7,0.7
XRP,2025-10-10,down,-15.6695,-3.6036,10,9,0.9
XRP,2026-02-05,down,-19.6783,-4.5156,11,11,1.0
XRP,2026-02-06,up,20.9971,4.7381,11,10,0.9091
ZEC,2023-06-10,down,-17.3793,-3.0706,8,8,1.0
ZEC,2024-12-02,up,24.1815,4.129,8,4,0.5
ZEC,2024-12-09,down,-21.3364,-3.7561,9,9,1.0
ZEC,2025-09-29,up,17.9748,3.0538,10,6,0.6
ZEC,2025-10-01,up,62.935,10.8424,10,10,1.0
ZEC,2025-10-04,up,23.2241,3.9632,10,2,0.2
ZEC,2025-10-07,down,-18.2325,-3.2184,10,8,0.8
ZEC,2025-10-08,up,39.302,6.7484,10,8,0.8
ZEC,2025-10-09,up,19.9764,3.4006,10,1,0.1
ZEC,2025-10-11,up,29.5255,5.0548,10,3,0.3
ZEC,2025-10-26,up,17.7855,3.0211,10,10,1.0
ZEC,2025-11-07,up,20.6417,3.5158,10,10,1.0
ZEC,2025-12-01,down,-19.536,-3.4442,10,10,1.0
ZEC,2025-12-08,up,18.2771,3.1062,10,9,0.9
ZEC,2026-02-05,down,-18.516,-3.2675,11,11,1.0
ZEC,2026-02-14,up,20.9831,3.575,11,11,1.0
ZEC,2026-03-16,up,20.5216,3.495,11,11,1.0
ZEC,2026-04-07,up,27.0971,4.6341,11,11,1.0
ZEC,2026-05-05,up,22.2411,3.7929,11,11,1.0
ZEC,2026-06-04,down,-26.0115,-4.566,11,10,0.9091
ZEC,2026-06-07,up,21.6078,3.6832,11,11,1.0
