date,n_coins,long_ret_pct,short_ret_pct,gross_pct,fees_pct,net_pct,top3_coins,bottom3_coins
2024-10-23,7,2.3857,0.8092,3.195,0.09,3.105,"SOL,DOGE,BTC","AAVE,CRV,ETH"
2024-10-24,7,-5.4672,5.2293,-0.2379,0.09,-0.3279,"SOL,BTC,DOGE","AAVE,CRV,ETH"
2024-10-25,7,2.8991,-2.2899,0.6092,0.09,0.5192,"SOL,BTC,DOGE","CRV,AAVE,ETH"
2024-10-26,8,3.2849,-4.3473,-1.0624,0.09,-1.1524,"SOL,BTC,DOGE","CRV,ZEC,ETH"
2024-10-27,8,4.2409,-1.8464,2.3945,0.09,2.3045,"SOL,DOGE,ZEC","CRV,ETH,AAVE"
2024-10-28,8,4.5484,-2.822,1.7264,0.09,1.6364,"DOGE,BTC,SOL","CRV,XRP,ZEC"
2024-10-29,8,-1.3874,0.1314,-1.256,0.09,-1.346,"DOGE,BTC,ETH","XRP,SOL,AAVE"
2024-10-30,8,-4.8827,3.4941,-1.3886,0.09,-1.4786,"DOGE,AAVE,CRV","XRP,SOL,ZEC"
2024-10-31,8,-0.252,0.7835,0.5315,0.09,0.4415,"DOGE,ZEC,CRV","SOL,XRP,AAVE"
2024-11-01,8,-1.3581,1.6281,0.27,0.09,0.18,"DOGE,BTC,CRV","SOL,AAVE,ZEC"
2024-11-02,8,-2.4387,1.7581,-0.6806,0.09,-0.7706,"BTC,DOGE,XRP","AAVE,SOL,ZEC"
2024-11-03,8,-0.6626,0.4597,-0.2029,0.09,-0.2929,"ZEC,XRP,BTC","DOGE,AAVE,CRV"
2024-11-04,8,4.3172,-4.1905,0.1267,0.09,0.0367,"XRP,ZEC,DOGE","AAVE,CRV,ETH"
2024-11-05,8,11.4506,-16.6085,-5.1579,0.09,-5.2479,"DOGE,ZEC,XRP","CRV,AAVE,ETH"
2024-11-06,8,1.9587,-3.3541,-1.3954,0.09,-1.4854,"DOGE,AAVE,ZEC","CRV,XRP,ETH"
2024-11-07,8,2.8213,-1.3098,1.5115,0.09,1.4215,"AAVE,DOGE,ZEC","XRP,BTC,CRV"
2024-11-08,8,5.2155,-1.1715,4.044,0.09,3.954,"AAVE,DOGE,ZEC","XRP,BTC,CRV"
2024-11-09,8,8.7468,-4.3071,4.4397,0.09,4.3497,"AAVE,DOGE,ETH","XRP,BTC,CRV"
2024-11-10,8,11.4163,-5.1762,6.2401,0.09,6.1501,"DOGE,AAVE,ETH","XRP,BTC,ZEC"
2024-11-11,8,-0.14,6.9838,6.8438,0.09,6.7538,"DOGE,ETH,SOL","ZEC,AAVE,CRV"
2024-11-12,8,1.947,-0.7912,1.1558,0.09,1.0658,"DOGE,XRP,BTC","ZEC,AAVE,CRV"
2024-11-13,8,-0.1728,5.9011,5.7283,0.09,5.6383,"DOGE,XRP,BTC","ZEC,AAVE,ETH"
2024-11-14,8,8.3062,-3.2486,5.0576,0.09,4.9676,"DOGE,XRP,BTC","ZEC,AAVE,ETH"
2024-11-15,8,6.7811,-6.9179,-0.1367,0.09,-0.2267,"XRP,DOGE,BTC","ZEC,AAVE,ETH"
2024-11-16,8,-3.2182,-1.4472,-4.6654,0.09,-4.7554,"XRP,CRV,DOGE","AAVE,ETH,SOL"
2024-11-17,8,7.9727,-3.6617,4.311,0.09,4.221,"XRP,CRV,SOL","AAVE,ETH,DOGE"
2024-11-18,8,0.9232,-0.6972,0.226,0.09,0.136,"XRP,CRV,ZEC","DOGE,AAVE,BTC"
2024-11-19,8,-3.8188,0.7946,-3.0242,0.09,-3.1142,"XRP,CRV,ZEC","ETH,AAVE,BTC"
2024-11-20,8,10.2409,-6.5972,3.6437,0.09,3.5537,"CRV,XRP,SOL","AAVE,DOGE,ETH"
2024-11-21,8,11.5918,-3.5366,8.0552,0.09,7.9652,"CRV,SOL,XRP","AAVE,ZEC,DOGE"
2024-11-22,8,2.8713,-2.0325,0.8388,0.09,0.7488,"CRV,XRP,DOGE","ZEC,AAVE,SOL"
