atr,lv,reb,ent,cap,return_pct,max_dd_pct,sharpe,n_fills,commissions,n_rebalances,n_regime_flips,n_liquidations,n_cap_enforcements,realized_pnl,final_equity
2.5,2,96,0.3,3,-11.5737,-11.9299,-0.183,1669,4451.72,534,1068,0,0,-11528.02,88426.3
1.5,2,192,0.3,4,-11.6658,-12.0414,-0.1905,1972,5012.18,534,1068,0,0,-11712.34,88334.24
1.5,2,192,0.3,3,-11.6658,-12.0414,-0.1905,1972,5012.18,534,1068,0,0,-11712.34,88334.24
1.5,2,96,0.3,4,-11.6658,-12.0414,-0.1905,1972,5012.18,534,1068,0,0,-11712.34,88334.24
1.5,2,96,0.3,3,-11.6658,-12.0414,-0.1905,1972,5012.18,534,1068,0,0,-11712.34,88334.24
2.5,3,192,0.5,4,-12.1685,-13.3423,-0.155,1131,2506.84,227,452,0,0,-12100.53,87831.53
2.5,3,192,0.5,3,-12.1685,-13.3423,-0.155,1131,2506.84,227,452,0,0,-12100.53,87831.53
2.5,3,96,0.5,3,-12.1685,-13.3423,-0.155,1131,2506.84,227,452,0,0,-12100.53,87831.53
2.5,3,96,0.5,4,-12.1685,-13.3423,-0.155,1131,2506.84,227,452,0,0,-12100.53,87831.53
2.0,3,192,0.5,4,-12.5551,-13.5238,-0.1556,1197,2630.66,227,452,0,0,-12465.84,87444.93
2.0,3,192,0.5,3,-12.5551,-13.5238,-0.1556,1197,2630.66,227,452,0,0,-12465.84,87444.93
2.0,3,96,0.5,3,-12.5551,-13.5238,-0.1556,1197,2630.66,227,452,0,0,-12465.84,87444.93
2.0,3,96,0.5,4,-12.5551,-13.5238,-0.1556,1197,2630.66,227,452,0,0,-12465.84,87444.93
1.5,3,96,0.3,3,-13.1191,-13.3746,-0.1815,2517,5849.43,534,1068,0,0,-13163.21,86880.92
1.5,3,96,0.3,4,-13.1191,-13.3746,-0.1815,2517,5849.43,534,1068,0,0,-13163.21,86880.92
1.5,3,192,0.3,4,-13.1191,-13.3746,-0.1815,2517,5849.43,534,1068,0,0,-13163.21,86880.92
1.5,3,192,0.3,3,-13.1191,-13.3746,-0.1815,2517,5849.43,534,1068,0,0,-13163.21,86880.92
2.5,3,192,0.3,4,-13.8266,-14.0398,-0.2029,2059,4899.63,534,1068,0,0,-13828.22,86173.4
2.5,3,192,0.3,3,-13.8266,-14.0398,-0.2029,2059,4899.63,534,1068,0,0,-13828.22,86173.4
2.5,3,96,0.3,3,-13.8266,-14.0398,-0.2029,2059,4899.63,534,1068,0,0,-13828.22,86173.4
2.5,3,96,0.3,4,-13.8266,-14.0398,-0.2029,2059,4899.63,534,1068,0,0,-13828.22,86173.4
2.0,3,96,0.3,3,-14.4302,-14.8114,-0.2106,2270,5298.85,534,1068,0,0,-14420.07,85569.78
2.0,3,96,0.3,4,-14.4302,-14.8114,-0.2106,2270,5298.85,534,1068,0,0,-14420.07,85569.78
2.0,3,192,0.3,4,-14.4302,-14.8114,-0.2106,2270,5298.85,534,1068,0,0,-14420.07,85569.78
2.0,3,192,0.3,3,-14.4302,-14.8114,-0.2106,2270,5298.85,534,1068,0,0,-14420.07,85569.78
