ts_ns,btc_qty,usdt_free,equity,price
1661284800000000000,0.0,100000.0,100000.0,21478.350000000002
1661288400000000000,2.79351,99964.0,99964.0,21489.36
1661292000000000000,2.79351,99964.0,99964.0,21475.5
1661295600000000000,2.79351,99964.0,99964.0,21529.12
1661299200000000000,2.79351,99964.0,99964.0,21385.79
1661302800000000000,2.79351,99964.0,99964.0,21264.710000000003
1661306400000000000,2.79351,99964.0,99964.0,21200.06
1661310000000000000,2.79351,99964.0,99964.0,21264.01
1661313600000000000,2.79351,99964.0,99964.0,21328.56
1661317200000000000,2.79351,99964.0,99964.0,21421.18
1661320800000000000,2.79351,99964.0,99964.0,21404.550000000003
1661324400000000000,2.79351,99964.0,99964.0,21317.85
1661328000000000000,2.79351,99964.0,99964.0,21341.4
1661331600000000000,2.79351,99964.0,99964.0,21314.670000000002
1661335200000000000,2.79351,99964.0,99964.0,21282.16
1661338800000000000,2.79351,99964.0,99964.0,21438.92
1661342400000000000,2.79351,99964.0,99964.0,21486.75
1661346000000000000,2.79351,99964.0,99964.0,21439.86
1661349600000000000,2.79351,99964.0,99964.0,21467.609999999997
1661353200000000000,2.79351,99964.0,99964.0,21618.449999999997
1661356800000000000,2.79351,99964.0,99964.0,21717.89
1661360400000000000,2.79351,99964.0,99964.0,21633.24
1661364000000000000,2.79351,99964.0,99964.0,21674.91
1661367600000000000,2.79351,99964.0,99964.0,21707.58
1661371200000000000,2.79351,99964.0,99964.0,21691.929999999997
1661374800000000000,2.79351,99964.0,99964.0,21592.070000000003
1661378400000000000,2.79351,99964.0,99964.0,21493.73
1661382000000000000,2.79351,99964.0,99964.0,21368.08
1661385600000000000,2.79351,99964.0,99964.0,21481.32
1661389200000000000,2.79351,99964.0,99964.0,21553.870000000003
1661392800000000000,2.79351,99964.0,99964.0,21526.96
1661396400000000000,2.79351,99964.0,99964.0,21468.929999999997
1661400000000000000,2.79351,99964.0,99964.0,21540.79
1661403600000000000,2.79351,99964.0,99964.0,21559.17
1661407200000000000,2.79351,99964.0,99964.0,21692.190000000002
1661410800000000000,2.79351,99964.0,99964.0,21743.289999999997
1661414400000000000,2.79351,99964.0,99964.0,21686.64
1661418000000000000,2.79351,99964.0,99964.0,21705.62
1661421600000000000,2.79351,99964.0,99964.0,21620.02
1661425200000000000,2.79351,99964.0,99964.0,21720.31
1661428800000000000,2.79351,99964.0,99964.0,21675.190000000002
1661432400000000000,2.79351,99964.0,99964.0,21706.7
1661436000000000000,2.79351,99964.0,99964.0,21657.95
1661439600000000000,2.79351,99964.0,99964.0,21565.12
1661443200000000000,2.79351,99964.0,99964.0,21445.0
1661446800000000000,2.79351,99964.0,99964.0,21571.16
1661450400000000000,2.79351,99964.0,99964.0,21539.7
1661454000000000000,2.79351,99964.0,99964.0,21605.2
1661457600000000000,2.79351,99964.0,99964.0,21646.11
1661461200000000000,2.79351,99964.0,99964.0,21583.0
1661464800000000000,2.79351,99964.0,99964.0,21576.26
1661468400000000000,2.79351,99964.0,99964.0,21559.04
1661472000000000000,2.79351,99964.0,99964.0,21477.12
1661475600000000000,2.79351,99964.0,99964.0,21558.129999999997
1661479200000000000,2.79351,99964.0,99964.0,21599.1
1661482800000000000,2.79351,99964.0,99964.0,21552.17
1661486400000000000,2.79351,99964.0,99964.0,21530.53
1661490000000000000,2.79351,99964.0,99964.0,21404.25
1661493600000000000,2.79351,99964.0,99964.0,21425.0
1661497200000000000,2.79351,99964.0,99964.0,21452.9
1661500800000000000,2.79351,99964.0,99964.0,21415.12
1661504400000000000,2.79351,99964.0,99964.0,21438.22
1661508000000000000,2.79351,99964.0,99964.0,21395.01
1661511600000000000,2.79351,99964.0,99964.0,21189.769999999997
1661515200000000000,2.79351,99964.0,99964.0,21639.79
1661518800000000000,2.79351,99964.0,99964.0,21753.46
1661522400000000000,2.79351,99964.0,99964.0,21159.929999999997
1661526000000000000,2.79351,99964.0,99964.0,20781.08
1661529600000000000,2.79351,99964.0,99964.0,20722.76
1661533200000000000,2.79351,99964.0,99964.0,20651.75
1661536800000000000,2.79351,99964.0,99964.0,20692.17
1661540400000000000,2.79351,99964.0,99964.0,20644.47
1661544000000000000,2.79351,99964.0,99964.0,20647.78
1661547600000000000,2.79351,99964.0,99964.0,20639.32
1661551200000000000,2.79351,99964.0,99964.0,20612.54
1661554800000000000,2.79351,99964.0,99964.0,20241.05
1661558400000000000,2.79351,99964.0,99964.0,20306.710000000003
1661562000000000000,2.79351,99964.0,99964.0,20276.58
1661565600000000000,2.79351,99964.0,99964.0,20204.769999999997
1661569200000000000,2.79351,99964.0,99964.0,20203.18
1661572800000000000,2.79351,99964.0,99964.0,20145.54
1661576400000000000,2.79351,99964.0,99964.0,20128.38
1661580000000000000,2.79351,99964.0,99964.0,20161.36
1661583600000000000,2.79351,99964.0,99964.0,20272.25
1661587200000000000,2.79351,99964.0,99964.0,20201.02
1661590800000000000,2.79351,99964.0,99964.0,20148.25
1661594400000000000,2.79351,99964.0,99964.0,20180.8
1661598000000000000,2.79351,99964.0,99964.0,20211.21
1661601600000000000,2.79351,99964.0,99964.0,20191.25
1661605200000000000,2.79351,99964.0,99964.0,20171.929999999997
1661608800000000000,2.79351,99964.0,99964.0,20060.82
1661612400000000000,2.79351,99964.0,99964.0,19977.36
1661616000000000000,2.79351,99964.0,99964.0,20002.670000000002
1661619600000000000,2.79351,99964.0,99964.0,19985.670000000002
1661623200000000000,2.79351,99964.0,99964.0,19958.41
1661626800000000000,2.79351,99964.0,99964.0,20018.0
1661630400000000000,2.79351,99964.0,99964.0,20007.99
1661634000000000000,2.79351,99964.0,99964.0,19873.06
1661637600000000000,2.79351,99964.0,99964.0,20020.08
1661641200000000000,2.79351,99964.0,99964.0,20037.6
1661644800000000000,2.79351,99964.0,99964.0,19992.16
1661648400000000000,2.79351,99964.0,99964.0,20019.75
1661652000000000000,2.79351,99964.0,99964.0,20004.47
1661655600000000000,2.79351,99964.0,99964.0,19990.58
1661659200000000000,2.79351,99964.0,99964.0,19995.62
1661662800000000000,2.79351,99964.0,99964.0,20054.75
1661666400000000000,2.79351,99964.0,99964.0,20033.94
1661670000000000000,2.79351,99964.0,99964.0,20056.62
1661673600000000000,2.79351,99964.0,99964.0,20036.69
1661677200000000000,2.79351,99964.0,99964.0,20020.0
1661680800000000000,2.79351,99964.0,99964.0,19995.449999999997
1661684400000000000,2.79351,99964.0,99964.0,20034.969999999998
1661688000000000000,2.79351,99964.0,99964.0,19924.17
1661691600000000000,2.79351,99964.0,99964.0,19938.04
1661695200000000000,2.79351,99964.0,99964.0,19920.01
1661698800000000000,2.79351,99964.0,99964.0,20022.030000000002
1661702400000000000,2.79351,99964.0,99964.0,19991.34
1661706000000000000,2.79351,99964.0,99964.0,19982.09
1661709600000000000,2.79351,99964.0,99964.0,20011.21
1661713200000000000,2.79351,99964.0,99964.0,19973.76
1661716800000000000,2.79351,99964.0,99964.0,19988.030000000002
1661720400000000000,2.79351,99964.0,99964.0,19964.01
1661724000000000000,2.79351,99964.0,99964.0,19903.85
1661727600000000000,2.79351,99964.0,99964.0,19555.609999999997
1661731200000000000,2.79351,99964.0,99964.0,19641.030000000002
1661734800000000000,2.79351,99964.0,99964.0,19660.75
1661738400000000000,2.79351,99964.0,99964.0,19764.25
1661742000000000000,2.79351,99964.0,99964.0,19868.14
1661745600000000000,2.79351,99964.0,99964.0,19804.929999999997
1661749200000000000,2.79351,99964.0,99964.0,19753.84
1661752800000000000,2.79351,99964.0,99964.0,19851.86
1661756400000000000,2.79351,99964.0,99964.0,19897.01
1661760000000000000,2.79351,99964.0,99964.0,19793.72
1661763600000000000,2.79351,99964.0,99964.0,19842.9
1661767200000000000,2.79351,99964.0,99964.0,19827.53
1661770800000000000,2.79351,99964.0,99964.0,19825.09
1661774400000000000,2.79351,99964.0,99964.0,19895.12
1661778000000000000,2.79351,99964.0,99964.0,20081.609999999997
1661781600000000000,2.79351,99964.0,99964.0,20166.54
1661785200000000000,2.79351,99964.0,99964.0,20262.28
1661788800000000000,2.79351,99964.0,99964.0,20315.96
1661792400000000000,2.79351,99964.0,99964.0,20276.3
1661796000000000000,2.79351,99964.0,99964.0,20174.710000000003
1661799600000000000,2.79351,99964.0,99964.0,20098.649999999998
1661803200000000000,2.79351,99964.0,99964.0,20175.809999999998
1661806800000000000,2.79351,99964.0,99964.0,20203.57
1661810400000000000,2.79351,99964.0,99964.0,20203.870000000003
1661814000000000000,2.79351,99964.0,99964.0,20285.73
