timestamp,open,high,low,close,volume
2022-08-07 00:00:00+00:00,22954.21000000,23051.92000000,22844.62000000,22889.24000000,5343.43342000
2022-08-07 01:00:00+00:00,22889.25000000,22938.00000000,22854.26000000,22911.34000000,4117.69791000
2022-08-07 02:00:00+00:00,22910.32000000,23007.75000000,22903.60000000,22996.12000000,2859.50901000
2022-08-07 03:00:00+00:00,22996.12000000,23042.31000000,22968.65000000,22990.10000000,3649.50686000
2022-08-07 04:00:00+00:00,22990.10000000,23025.00000000,22938.47000000,22950.57000000,3507.57328000
2022-08-07 05:00:00+00:00,22949.17000000,22998.93000000,22946.89000000,22969.39000000,2150.49454000
2022-08-07 06:00:00+00:00,22969.39000000,23020.44000000,22965.45000000,23005.76000000,2225.20884000
2022-08-07 07:00:00+00:00,23005.20000000,23029.62000000,22990.49000000,23015.95000000,2399.76585000
2022-08-07 08:00:00+00:00,23014.60000000,23025.95000000,22902.16000000,22924.90000000,3747.39457000
2022-08-07 09:00:00+00:00,22924.90000000,22980.27000000,22890.52000000,22977.27000000,3571.79140000
2022-08-07 10:00:00+00:00,22978.05000000,23013.82000000,22957.47000000,22999.48000000,2453.50635000
2022-08-07 11:00:00+00:00,22998.69000000,23055.00000000,22961.99000000,23038.48000000,3331.44675000
2022-08-07 12:00:00+00:00,23038.48000000,23151.00000000,23035.00000000,23115.02000000,6003.94433000
2022-08-07 13:00:00+00:00,23115.02000000,23184.21000000,23115.02000000,23152.76000000,4248.28127000
2022-08-07 14:00:00+00:00,23153.02000000,23172.84000000,23055.94000000,23119.59000000,3971.76998000
2022-08-07 15:00:00+00:00,23118.57000000,23123.63000000,23010.84000000,23023.14000000,3743.67044000
2022-08-07 16:00:00+00:00,23021.97000000,23137.29000000,22994.00000000,23093.70000000,3781.37734000
2022-08-07 17:00:00+00:00,23093.13000000,23300.00000000,23090.00000000,23240.40000000,5755.75131000
2022-08-07 18:00:00+00:00,23238.33000000,23287.26000000,23184.36000000,23215.60000000,3372.28767000
2022-08-07 19:00:00+00:00,23214.59000000,23224.11000000,23141.48000000,23161.02000000,2740.86815000
2022-08-07 20:00:00+00:00,23162.46000000,23279.97000000,23151.63000000,23264.01000000,3412.95593000
2022-08-07 21:00:00+00:00,23264.01000000,23402.00000000,23262.02000000,23311.34000000,3759.24792000
2022-08-07 22:00:00+00:00,23311.34000000,23323.00000000,23215.60000000,23244.63000000,3588.40710000
2022-08-07 23:00:00+00:00,23244.63000000,23252.92000000,23051.71000000,23174.39000000,5154.11855000
2022-08-08 00:00:00+00:00,23174.39000000,23350.00000000,23154.25000000,23264.25000000,5160.37577000
2022-08-08 01:00:00+00:00,23262.89000000,23275.15000000,23162.98000000,23220.08000000,3725.53410000
2022-08-08 02:00:00+00:00,23218.93000000,23328.72000000,23203.82000000,23302.44000000,5132.50440000
2022-08-08 03:00:00+00:00,23303.17000000,23344.00000000,23254.36000000,23306.63000000,4037.71722000
