coin,tf,model,model_correlation,best_feature,feature_correlation,model_wins
AAVE,1d,GARCH,0.161105124899484,lag_vol_pct,0.03881992310975872,True
AAVE,1d,EGARCH,0.1681285689321634,lag_vol_pct,0.03881992310975872,True
AAVE,1h,GARCH,0.35223051312526105,lag_vol_pct,0.0934114829346414,True
AAVE,1h,EGARCH,0.34908555378390166,lag_vol_pct,0.0934114829346414,True
BTC,1d,GARCH,0.21377894719636012,lag_vol_pct,-0.047242921645488906,True
BTC,1d,EGARCH,0.21124990152770043,lag_vol_pct,-0.047242921645488906,True
BTC,1h,GARCH,0.3198997467867985,lag_vol_pct,0.12176508293962382,True
BTC,1h,EGARCH,0.33162065285012243,lag_vol_pct,0.12176508293962382,True
CRV,1d,GARCH,0.13200003390979573,lag_vol_pct,0.08049932262564613,True
CRV,1d,EGARCH,0.13836904653740711,lag_vol_pct,0.08049932262564613,True
CRV,1h,GARCH,0.326006020434242,lag_vol_pct,0.08816441407643627,True
CRV,1h,EGARCH,0.3308654241152482,lag_vol_pct,0.08816441407643627,True
DOGE,1d,GARCH,0.1552905371535791,lag_vol_pct,0.06451239283318844,True
DOGE,1d,EGARCH,0.16243418173677893,lag_vol_pct,0.06451239283318844,True
DOGE,1h,GARCH,0.30707223230609176,lag_vol_pct,0.10670711212863522,True
DOGE,1h,EGARCH,0.314872724024291,lag_vol_pct,0.10670711212863522,True
ETH,1d,GARCH,0.040851466967464535,lag_vol_pct,0.006124913495432586,True
ETH,1d,EGARCH,0.05149231321696288,lag_vol_pct,0.006124913495432586,True
ETH,1h,GARCH,0.2782343884984572,lag_vol_pct,0.090448388534973,True
ETH,1h,EGARCH,0.2890385493539733,lag_vol_pct,0.090448388534973,True
HYPE,1d,GARCH,0.1617353158373902,lag_vol_pct,0.06812208814558689,True
HYPE,1d,EGARCH,-0.008635092468325917,lag_vol_pct,0.06812208814558689,False
HYPE,1h,GARCH,0.3756754336543576,lag_hour,0.06185009213194814,True
HYPE,1h,EGARCH,0.37518689140024075,lag_hour,0.06185009213194814,True
LIT,1d,GARCH,0.16034216164036424,lag_vol_pct,0.0939115714676503,True
LIT,1d,EGARCH,-0.031563002307678126,lag_vol_pct,0.0939115714676503,False
LIT,1h,GARCH,0.3595258232744768,lag_vol_pct,0.06586666221216947,True
LIT,1h,EGARCH,0.36287617799874294,lag_vol_pct,0.06586666221216947,True
PUMP,1d,GARCH,0.06381184966945554,lag_vol_pct,-0.006745573842766108,True
PUMP,1d,EGARCH,-0.0,lag_vol_pct,-0.006745573842766108,False
PUMP,1h,GARCH,0.2778773289257804,lag_vol_pct,0.06361405495525742,True
PUMP,1h,EGARCH,0.282797496164618,lag_vol_pct,0.06361405495525742,True
SOL,1d,GARCH,0.2123425822690908,lag_vol_pct,0.08408971934421772,True
SOL,1d,EGARCH,0.2089035271853888,lag_vol_pct,0.08408971934421772,True
SOL,1h,GARCH,0.3317138084433689,lag_vol_pct,0.10620215773206837,True
SOL,1h,EGARCH,0.33676969177787913,lag_vol_pct,0.10620215773206837,True
XMR,1d,GARCH,0.2705318932711376,lag_vol_pct,0.05332683770141109,True
XMR,1d,EGARCH,-0.06447917034600587,lag_vol_pct,0.05332683770141109,True
XMR,1h,GARCH,0.45177082266783186,lag_vol_pct,0.053902667995701176,True
XMR,1h,EGARCH,0.4506115745455221,lag_vol_pct,0.053902667995701176,True
XRP,1d,GARCH,0.1758642921805938,lag_cooloff,-0.2468840414242803,False
XRP,1d,EGARCH,0.1853190203003027,lag_cooloff,-0.2468840414242803,False
XRP,1h,GARCH,0.3262974156139931,lag_vol_pct,0.09090546723796289,True
XRP,1h,EGARCH,0.3314025036809194,lag_vol_pct,0.09090546723796289,True
ZEC,1d,GARCH,-0.07056211935447051,lag_vol_pct,0.13661452500742738,False
ZEC,1d,EGARCH,0.023305200289606746,lag_vol_pct,0.13661452500742738,False
ZEC,1h,GARCH,0.46330101672854324,lag_vol_pct,0.07605338663308238,True
ZEC,1h,EGARCH,0.4326882593042678,lag_vol_pct,0.07605338663308238,True
