bar,side,action,price,notional,fee
2200,1,CLOSE,121374.6,3750.0,0.75
2200,1,CLOSE,118300.09,3750.0,0.75
2200,1,CLOSE,119544.83,3750.0,0.75
2201,1,OPEN,123851.63,3750.0,0.75
2201,1,OPEN,123229.26,3750.0,0.75
2201,1,OPEN,121984.52,3750.0,0.75
2202,1,CLOSE,121374.6,3750.0,0.75
2202,1,CLOSE,118300.09,3750.0,0.75
2202,1,CLOSE,119544.83,3750.0,0.75
2203,1,OPEN,123851.63,3750.0,0.75
2203,1,OPEN,123229.26,3750.0,0.75
2203,1,OPEN,121984.52,3750.0,0.75
2204,1,CLOSE,121374.6,3750.0,0.75
2204,1,CLOSE,118300.09,3750.0,0.75
2204,1,CLOSE,119544.83,3750.0,0.75
2205,1,OPEN,123851.63,3750.0,0.75
2205,1,OPEN,123229.26,3750.0,0.75
2205,1,OPEN,121984.52,3750.0,0.75
2206,1,CLOSE,121374.6,3750.0,0.75
2206,1,CLOSE,118300.09,3750.0,0.75
2206,1,CLOSE,119544.83,3750.0,0.75
2207,1,OPEN,123851.63,3750.0,0.75
2207,1,OPEN,123229.26,3750.0,0.75
2207,1,OPEN,121984.52,3750.0,0.75
2208,1,CLOSE,121374.6,3750.0,0.75
2208,1,CLOSE,118300.09,3750.0,0.75
2208,1,CLOSE,119544.83,3750.0,0.75
2209,1,OPEN,123851.63,3750.0,0.75
2209,1,OPEN,123229.26,3750.0,0.75
2209,1,OPEN,121984.52,3750.0,0.75
2210,1,CLOSE,121374.6,3750.0,0.75
2210,1,CLOSE,118300.09,3750.0,0.75
2210,1,CLOSE,119544.83,3750.0,0.75
2211,1,OPEN,123851.63,3750.0,0.75
2211,1,OPEN,123229.26,3750.0,0.75
2211,1,OPEN,121984.52,3750.0,0.75
2212,1,CLOSE,121374.6,3750.0,0.75
2212,1,CLOSE,118300.09,3750.0,0.75
2212,1,CLOSE,119544.83,3750.0,0.75
2213,1,OPEN,123851.63,3750.0,0.75
2213,1,OPEN,123229.26,3750.0,0.75
2213,1,OPEN,121984.52,3750.0,0.75
2214,1,CLOSE,121374.6,3750.0,0.75
2214,1,CLOSE,118300.09,3750.0,0.75
2214,1,CLOSE,119544.83,3750.0,0.75
2215,1,OPEN,123851.63,3750.0,0.75
2215,1,OPEN,123229.26,3750.0,0.75
2215,1,OPEN,121984.52,3750.0,0.75
2216,1,CLOSE,121374.6,3750.0,0.75
2216,1,CLOSE,118300.09,3750.0,0.75
2216,1,CLOSE,119544.83,3750.0,0.75
2217,1,OPEN,123851.63,3750.0,0.75
2217,1,OPEN,123229.26,3750.0,0.75
2217,1,OPEN,121984.52,3750.0,0.75
2218,1,CLOSE,121374.6,3750.0,0.75
2218,1,CLOSE,118300.09,3750.0,0.75
2218,1,CLOSE,119544.83,3750.0,0.75
2219,1,OPEN,123851.63,3750.0,0.75
2219,1,OPEN,123229.26,3750.0,0.75
2219,1,OPEN,121984.52,3750.0,0.75
2220,1,CLOSE,121374.6,3750.0,0.75
2220,1,CLOSE,118300.09,3750.0,0.75
2220,1,CLOSE,119544.83,3750.0,0.75
2221,1,OPEN,123851.63,3750.0,0.75
2221,1,OPEN,123229.26,3750.0,0.75
2221,1,OPEN,121984.52,3750.0,0.75
2222,1,CLOSE,121374.6,3750.0,0.75
2222,1,CLOSE,118300.09,3750.0,0.75
2222,1,CLOSE,119544.83,3750.0,0.75
2223,1,OPEN,123851.63,3750.0,0.75
2223,1,OPEN,123229.26,3750.0,0.75
2223,1,OPEN,121984.52,3750.0,0.75
2224,1,CLOSE,121374.6,3750.0,0.75
2224,1,CLOSE,118300.09,3750.0,0.75
