timestamp,gpu_busy_pct,cpu_pct,disk_write_kbps,memory_mb
2026-06-16T11:59:27-05:00,0,0,0,0
2026-06-16T11:59:28-05:00,0,0,0,0
2026-06-16T11:59:29-05:00,0,0,0,0
2026-06-16T11:59:30-05:00,0,0,0,0
2026-06-16T11:59:31-05:00,0,0,0,0
2026-06-16T11:59:32-05:00,0,0,0,0
2026-06-16T11:59:33-05:00,0,0,0,0
2026-06-16T11:59:34-05:00,0,0,0,0
2026-06-16T11:59:35-05:00,0,0,0,0
2026-06-16T11:59:36-05:00,0,0,0,0
2026-06-16T11:59:37-05:00,0,0,0,0
2026-06-16T11:59:38-05:00,2,0,0,0
2026-06-16T11:59:39-05:00,3,0,0,0
2026-06-16T11:59:40-05:00,3,0,0,0
2026-06-16T11:59:41-05:00,3,0,0,0
2026-06-16T11:59:42-05:00,3,0,0,0
2026-06-16T11:59:43-05:00,3,0,0,0
2026-06-16T11:59:44-05:00,3,0,0,0
2026-06-16T11:59:45-05:00,3,0,0,0
2026-06-16T11:59:46-05:00,3,0,0,0
2026-06-16T11:59:47-05:00,3,0,0,0
2026-06-16T11:59:48-05:00,3,0,0,0
2026-06-16T11:59:49-05:00,3,0,0,0
2026-06-16T11:59:50-05:00,3,0,0,0
2026-06-16T11:59:51-05:00,4,0,0,0
2026-06-16T11:59:52-05:00,3,0,0,0
2026-06-16T11:59:53-05:00,3,0,0,0
2026-06-16T11:59:54-05:00,3,0,0,0
2026-06-16T11:59:55-05:00,3,0,0,0
2026-06-16T11:59:56-05:00,3,0,0,0
2026-06-16T11:59:58-05:00,3,0,0,0
2026-06-16T11:59:59-05:00,3,0,0,0
2026-06-16T12:00:00-05:00,3,0,0,0
2026-06-16T12:00:01-05:00,3,0,0,0
2026-06-16T12:00:02-05:00,4,0,0,0
2026-06-16T12:00:03-05:00,3,0,0,0
2026-06-16T12:00:04-05:00,1,0,0,0
2026-06-16T12:00:05-05:00,0,0,0,0
2026-06-16T12:00:06-05:00,0,0,0,0
2026-06-16T12:00:07-05:00,0,0,0,0
2026-06-16T12:00:08-05:00,0,0,0,0
2026-06-16T12:00:09-05:00,0,0,0,0
2026-06-16T12:00:10-05:00,0,0,0,0
2026-06-16T12:00:11-05:00,0,0,0,0
2026-06-16T12:00:12-05:00,0,0,0,0
2026-06-16T12:00:13-05:00,0,0,0,0
2026-06-16T12:00:14-05:00,0,0,0,0
2026-06-16T12:00:15-05:00,0,0,0,0
2026-06-16T12:00:16-05:00,0,0,0,0
2026-06-16T12:00:17-05:00,0,0,0,0
2026-06-16T12:00:18-05:00,0,0,0,0
2026-06-16T12:00:19-05:00,0,0,0,0
2026-06-16T12:00:20-05:00,0,0,0,0
2026-06-16T12:00:21-05:00,0,0,0,0
2026-06-16T12:00:22-05:00,0,0,0,0
2026-06-16T12:00:23-05:00,0,0,0,0
2026-06-16T12:00:24-05:00,0,0,0,0
2026-06-16T12:00:25-05:00,0,0,0,0
2026-06-16T12:00:26-05:00,0,0,0,0
2026-06-16T12:00:27-05:00,0,0,0,0
2026-06-16T12:00:28-05:00,0,0,0,0
2026-06-16T12:00:29-05:00,0,0,0,0
2026-06-16T12:00:30-05:00,0,0,0,0
2026-06-16T12:00:31-05:00,0,0,0,0
