bar,side,action,price,notional,fee
461,1,CLOSE,23476.78,3750.0,0.75
462,1,OPEN,25085.26,3750.0,0.75
462,1,OPEN,24959.21,3750.0,0.75
462,1,OPEN,24707.09,3750.0,0.75
462,1,OPEN,24454.98,3750.0,0.75
463,1,CLOSE,24583.56,3750.0,0.75
463,1,CLOSE,23960.84,3750.0,0.75
463,1,CLOSE,24212.95,3750.0,0.75
463,1,CLOSE,23476.78,3750.0,0.75
464,1,OPEN,25085.26,3750.0,0.75
464,1,OPEN,24959.21,3750.0,0.75
464,1,OPEN,24707.09,3750.0,0.75
464,1,OPEN,24454.98,3750.0,0.75
465,1,CLOSE,24583.56,3750.0,0.75
465,1,CLOSE,23960.84,3750.0,0.75
465,1,CLOSE,24212.95,3750.0,0.75
465,1,CLOSE,23476.78,3750.0,0.75
466,1,OPEN,25085.26,3750.0,0.75
466,1,OPEN,24959.21,3750.0,0.75
466,1,OPEN,24707.09,3750.0,0.75
466,1,OPEN,24454.98,3750.0,0.75
467,1,CLOSE,24583.56,3750.0,0.75
467,1,CLOSE,23960.84,3750.0,0.75
467,1,CLOSE,24212.95,3750.0,0.75
467,1,CLOSE,23476.78,3750.0,0.75
468,1,OPEN,25085.26,3750.0,0.75
468,1,OPEN,24959.21,3750.0,0.75
468,1,OPEN,24707.09,3750.0,0.75
468,1,OPEN,24454.98,3750.0,0.75
469,1,CLOSE,24583.56,3750.0,0.75
469,1,CLOSE,23960.84,3750.0,0.75
469,1,CLOSE,24212.95,3750.0,0.75
469,1,CLOSE,23476.78,3750.0,0.75
470,1,OPEN,25085.26,3750.0,0.75
470,1,OPEN,24959.21,3750.0,0.75
470,1,OPEN,24707.09,3750.0,0.75
470,1,OPEN,24454.98,3750.0,0.75
471,1,CLOSE,24583.56,3750.0,0.75
471,1,CLOSE,23960.84,3750.0,0.75
471,1,CLOSE,24212.95,3750.0,0.75
471,1,CLOSE,23476.78,3750.0,0.75
472,1,OPEN,25085.26,3750.0,0.75
472,1,OPEN,24959.21,3750.0,0.75
472,1,OPEN,24707.09,3750.0,0.75
472,1,OPEN,24454.98,3750.0,0.75
473,1,CLOSE,24583.56,3750.0,0.75
473,1,CLOSE,23960.84,3750.0,0.75
473,1,CLOSE,24212.95,3750.0,0.75
473,1,CLOSE,23476.78,3750.0,0.75
474,1,OPEN,25085.26,3750.0,0.75
474,1,OPEN,24959.21,3750.0,0.75
474,1,OPEN,24707.09,3750.0,0.75
474,1,OPEN,24454.98,3750.0,0.75
475,1,CLOSE,24583.56,3750.0,0.75
475,1,CLOSE,23960.84,3750.0,0.75
475,1,CLOSE,24212.95,3750.0,0.75
475,1,CLOSE,23476.78,3750.0,0.75
476,1,OPEN,25085.26,3750.0,0.75
476,1,OPEN,24959.21,3750.0,0.75
476,1,OPEN,24707.09,3750.0,0.75
476,1,OPEN,24454.98,3750.0,0.75
477,1,CLOSE,24583.56,3750.0,0.75
477,1,CLOSE,23960.84,3750.0,0.75
477,1,CLOSE,24212.95,3750.0,0.75
477,1,CLOSE,23476.78,3750.0,0.75
478,1,OPEN,25085.26,3750.0,0.75
478,1,OPEN,24959.21,3750.0,0.75
478,1,OPEN,24707.09,3750.0,0.75
478,1,OPEN,24454.98,3750.0,0.75
479,1,CLOSE,24583.56,3750.0,0.75
479,1,CLOSE,23960.84,3750.0,0.75
479,1,CLOSE,24212.95,3750.0,0.75
479,1,CLOSE,23476.78,3750.0,0.75
480,1,OPEN,25085.26,3750.0,0.75
480,1,OPEN,24959.21,3750.0,0.75
480,1,OPEN,24707.09,3750.0,0.75
480,1,OPEN,24454.98,3750.0,0.75
481,1,CLOSE,24583.56,3750.0,0.75
481,1,CLOSE,23960.84,3750.0,0.75
481,1,CLOSE,24212.95,3750.0,0.75
481,1,CLOSE,23476.78,3750.0,0.75
482,1,OPEN,25085.26,3750.0,0.75
482,1,OPEN,24959.21,3750.0,0.75
482,1,OPEN,24707.09,3750.0,0.75
482,1,OPEN,24454.98,3750.0,0.75
483,1,CLOSE,24583.56,3750.0,0.75
483,1,CLOSE,23960.84,3750.0,0.75
483,1,CLOSE,24212.95,3750.0,0.75
483,1,CLOSE,23476.78,3750.0,0.75
484,1,OPEN,24857.79,3750.0,0.75
484,1,OPEN,24732.87,3750.0,0.75
484,1,OPEN,24483.05,3750.0,0.75
484,1,OPEN,24233.22,3750.0,0.75
485,1,CLOSE,20128.38,3750.0,0.75
485,1,CLOSE,20128.38,3750.0,0.75
485,1,CLOSE,20128.38,3750.0,0.75
485,1,CLOSE,20128.38,3750.0,0.75
588,1,OPEN,21790.5,3750.0,0.75
588,1,OPEN,21681.0,3750.0,0.75
588,1,OPEN,21462.0,3750.0,0.75
588,1,OPEN,21243.0,3750.0,0.75
589,1,CLOSE,21354.69,3750.0,0.75
589,1,CLOSE,20813.76,3750.0,0.75
589,1,CLOSE,21032.76,3750.0,0.75
589,1,CLOSE,20393.28,3750.0,0.75
590,1,OPEN,21790.5,3750.0,0.75
590,1,OPEN,21681.0,3750.0,0.75
590,1,OPEN,21462.0,3750.0,0.75
590,1,OPEN,21243.0,3750.0,0.75
591,1,CLOSE,21354.69,3750.0,0.75
591,1,CLOSE,20813.76,3750.0,0.75
591,1,CLOSE,21032.76,3750.0,0.75
591,1,CLOSE,20393.28,3750.0,0.75
592,1,OPEN,21790.5,3750.0,0.75
592,1,OPEN,21681.0,3750.0,0.75
592,1,OPEN,21462.0,3750.0,0.75
592,1,OPEN,21243.0,3750.0,0.75
593,1,CLOSE,21354.69,3750.0,0.75
593,1,CLOSE,20813.76,3750.0,0.75
593,1,CLOSE,21032.76,3750.0,0.75
593,1,CLOSE,20393.28,3750.0,0.75
594,1,OPEN,21790.5,3750.0,0.75
594,1,OPEN,21681.0,3750.0,0.75
594,1,OPEN,21462.0,3750.0,0.75
594,1,OPEN,21243.0,3750.0,0.75
595,1,CLOSE,21354.69,3750.0,0.75
595,1,CLOSE,20813.76,3750.0,0.75
595,1,CLOSE,21032.76,3750.0,0.75
595,1,CLOSE,20393.28,3750.0,0.75
596,1,OPEN,21790.5,3750.0,0.75
596,1,OPEN,21681.0,3750.0,0.75
596,1,OPEN,21462.0,3750.0,0.75
596,1,OPEN,21243.0,3750.0,0.75
597,1,CLOSE,21354.69,3750.0,0.75
597,1,CLOSE,20813.76,3750.0,0.75
597,1,CLOSE,21032.76,3750.0,0.75
597,1,CLOSE,20393.28,3750.0,0.75
598,1,OPEN,21790.5,3750.0,0.75
598,1,OPEN,21681.0,3750.0,0.75
598,1,OPEN,21462.0,3750.0,0.75
598,1,OPEN,21243.0,3750.0,0.75
599,1,CLOSE,21354.69,3750.0,0.75
599,1,CLOSE,20813.76,3750.0,0.75
599,1,CLOSE,21032.76,3750.0,0.75
599,1,CLOSE,20393.28,3750.0,0.75
600,1,OPEN,21790.5,3750.0,0.75
600,1,OPEN,21681.0,3750.0,0.75
600,1,OPEN,21462.0,3750.0,0.75
600,1,OPEN,21243.0,3750.0,0.75
601,1,CLOSE,21354.69,3750.0,0.75
601,1,CLOSE,20813.76,3750.0,0.75
601,1,CLOSE,21032.76,3750.0,0.75
601,1,CLOSE,20393.28,3750.0,0.75
602,1,OPEN,21790.5,3750.0,0.75
602,1,OPEN,21681.0,3750.0,0.75
602,1,OPEN,21462.0,3750.0,0.75
602,1,OPEN,21243.0,3750.0,0.75
603,1,CLOSE,21354.69,3750.0,0.75
603,1,CLOSE,20813.76,3750.0,0.75
603,1,CLOSE,21032.76,3750.0,0.75
603,1,CLOSE,20393.28,3750.0,0.75
604,1,OPEN,21790.5,3750.0,0.75
604,1,OPEN,21681.0,3750.0,0.75
604,1,OPEN,21462.0,3750.0,0.75
604,1,OPEN,21243.0,3750.0,0.75
605,1,CLOSE,21354.69,3750.0,0.75
605,1,CLOSE,20813.76,3750.0,0.75
605,1,CLOSE,21032.76,3750.0,0.75
605,1,CLOSE,20393.28,3750.0,0.75
606,1,OPEN,21790.5,3750.0,0.75
606,1,OPEN,21681.0,3750.0,0.75
606,1,OPEN,21462.0,3750.0,0.75
606,1,OPEN,21243.0,3750.0,0.75
607,1,CLOSE,21354.69,3750.0,0.75
607,1,CLOSE,20813.76,3750.0,0.75
607,1,CLOSE,21032.76,3750.0,0.75
607,1,CLOSE,20393.28,3750.0,0.75
608,1,OPEN,21790.5,3750.0,0.75
608,1,OPEN,21681.0,3750.0,0.75
608,1,OPEN,21462.0,3750.0,0.75
608,1,OPEN,21243.0,3750.0,0.75
609,1,CLOSE,21354.69,3750.0,0.75
609,1,CLOSE,20813.76,3750.0,0.75
609,1,CLOSE,21032.76,3750.0,0.75
609,1,CLOSE,20393.28,3750.0,0.75
610,1,OPEN,21790.5,3750.0,0.75
610,1,OPEN,21681.0,3750.0,0.75
610,1,OPEN,21462.0,3750.0,0.75
610,1,OPEN,21243.0,3750.0,0.75
611,1,CLOSE,21354.69,3750.0,0.75
611,1,CLOSE,20813.76,3750.0,0.75
611,1,CLOSE,21032.76,3750.0,0.75
611,1,CLOSE,20393.28,3750.0,0.75
612,1,OPEN,21790.5,3750.0,0.75
612,1,OPEN,21681.0,3750.0,0.75
612,1,OPEN,21462.0,3750.0,0.75
612,1,OPEN,21243.0,3750.0,0.75
613,1,CLOSE,21354.69,3750.0,0.75
613,1,CLOSE,20813.76,3750.0,0.75
613,1,CLOSE,21032.76,3750.0,0.75
613,1,CLOSE,20393.28,3750.0,0.75
614,1,OPEN,21790.5,3750.0,0.75
614,1,OPEN,21681.0,3750.0,0.75
614,1,OPEN,21462.0,3750.0,0.75
