side,tf,n,mae_med,mae_p90,mae_min,mfe_med,mfe_p90,mfe_max,mae_ratio
down,1d,46,-9.27147382598702,-4.548719036927159,-46.260176759980844,14.225785367759038,30.787222450991308,38.894261766602206,-0.6531550595575486
down,1h,494,-2.5691368995298447,-0.2437353650038781,-49.00012395157625,2.626766081466611,7.539033173470188,28.866080475925866,-1.002327302928538
down,1w,3,-11.70898927402594,-8.853505255249555,-18.958052050840358,20.51786019483848,33.64706120549502,36.92936145815916,-0.39670970428987934
down,5m,425,-0.37445555102936107,-0.05467209379948707,-3.6290322580645107,0.45058000191737596,1.2757072180282798,4.090844971081946,-0.8817204301075172
up,1d,99,-9.191163496488683,-2.0690271953926156,-48.728265555395886,11.638254839641714,54.1672441464549,124.33614813307558,-0.8992609879424337
up,1h,555,-2.477296899288232,-0.47682295237316236,-23.91482540665586,2.365505539475002,8.29733098281261,22.528843155597126,-0.9576271186440584
up,1w,19,-24.205979503684258,-3.9924340262420763,-63.569992690058484,26.21590073926765,115.89987734161069,290.4896915159173,-0.5503562487964571
up,5m,498,-0.47913433030063646,-0.08775590662525928,-4.8209366391184405,0.43988612486487916,1.4608327127442293,6.1943267873187,-1.031655508719726
